METABARCODING,MORPHOLOGY
Hydropsychidae,Hydrospychidae
Ecnomidae,Ecnomidae
Philopotamidae,Philopotamidae
Leptoceridae,Leptoceridae
Odontoceridae,Hydrosalpingidae
Simuliidae,Barbarochthonidae
Chironomidae,Hydroptilidae
Ceratopogonidae,Glossosomatidae
Culicidae,Simuliidae
Psychodidae,Chironomidae
Limoniidae,Dixidae
Tipulidae,Ceratopogonidae
Blephariceridae,Culicidae
Dolichopodidae,Limoniidae
Empididae,Empididae
Muscidae,Athericidae
Sciomyzidae,Blephariceridae
Syrphidae,Ephydridae
Tabanidae,Dytiscidae
Dytiscidae,Gyrinidae
Gyrinidae,Elmidae
Hydraenidae,Ptilodactylidae
Notonemouridae,Hydraenidae
Aeshnidae,Scirtidae
Gomphidae,Corydalidae
Coenagrionidae,Corixidae
Baetidae,Micronectidae
,Belostomatidae
,Notonemouridae
,Libellulidae
,Aeshnidae
,Gomphidae
,Synlestidae
,Baetidae
,Leptophlebiidae
,Heptageniidae
,Teloganodidae
,Caenidae
