Year,Month,Day,Time,Temp1
2002,6,20,00:12,3
2002,6,20,01:12,3
2002,6,20,02:12,3
2002,6,20,03:12,2.5
2002,6,20,04:12,2.5
2002,6,20,05:12,2.5
2002,6,20,06:12,2.5
2002,6,20,07:12,2
2002,6,20,08:12,2
2002,6,20,09:12,2
2002,6,20,10:12,2
2002,6,20,11:12,3
2002,6,20,12:12,4.5
2002,6,20,13:12,5.5
2002,6,20,14:12,5.5
2002,6,20,15:12,5.5
2002,6,20,16:12,5.5
2002,6,20,17:12,5
2002,6,20,18:12,4.5
2002,6,20,19:12,4.5
2002,6,20,20:12,4.5
2002,6,20,21:12,4
2002,6,20,22:12,3.5
2002,6,20,23:12,3.5
2002,6,21,00:12,3
2002,6,21,01:12,3
2002,6,21,02:12,3
2002,6,21,03:12,2.5
2002,6,21,04:12,2.5
2002,6,21,05:12,2.5
2002,6,21,06:12,2
2002,6,21,07:12,1.5
2002,6,21,08:12,1.5
2002,6,21,09:12,2
2002,6,21,10:12,3
2002,6,21,11:12,4.5
2002,6,21,12:12,6.5
2002,6,21,13:12,8
2002,6,21,14:12,8
2002,6,21,15:12,8
2002,6,21,16:12,8
2002,6,21,17:12,8
2002,6,21,18:12,8
2002,6,21,19:12,7.5
2002,6,21,20:12,7.5
2002,6,21,21:12,7.5
2002,6,21,22:12,7
2002,6,21,23:12,7
2002,6,22,00:12,7
2002,6,22,01:12,7
2002,6,22,02:12,7
2002,6,22,03:12,6.5
2002,6,22,04:12,6.5
2002,6,22,05:12,6.5
2002,6,22,06:12,6
2002,6,22,07:12,6
2002,6,22,08:12,6
2002,6,22,09:12,6.5
2002,6,22,10:12,7
2002,6,22,11:12,8
2002,6,22,12:12,9.5
2002,6,22,13:12,10.5
2002,6,22,14:12,10.5
2002,6,22,15:12,10
2002,6,22,16:12,9.5
2002,6,22,17:12,9
2002,6,22,18:12,8.5
2002,6,22,19:12,7.5
2002,6,22,20:12,6.5
2002,6,22,21:12,6
2002,6,22,22:12,5.5
2002,6,22,23:12,5
2002,6,23,00:12,4.5
2002,6,23,01:12,4
2002,6,23,02:12,3.5
2002,6,23,03:12,4
2002,6,23,04:12,3.5
2002,6,23,05:12,3.5
2002,6,23,06:12,4
2002,6,23,07:12,4
2002,6,23,08:12,4.5
2002,6,23,09:12,4.5
2002,6,23,10:12,5
2002,6,23,11:12,6
2002,6,23,12:12,6.5
2002,6,23,13:12,7
2002,6,23,14:12,7
2002,6,23,15:12,7
2002,6,23,16:12,7
2002,6,23,17:12,7
2002,6,23,18:12,6
2002,6,23,19:12,6
2002,6,23,20:12,6
2002,6,23,21:12,5.5
2002,6,23,22:12,5
2002,6,23,23:12,4.5
2002,6,24,00:12,4
2002,6,24,01:12,3.5
2002,6,24,02:12,3
2002,6,24,03:12,2.5
2002,6,24,04:12,2.5
2002,6,24,05:12,2
2002,6,24,06:12,1.5
2002,6,24,07:12,1.5
2002,6,24,08:12,1.5
2002,6,24,09:12,1.5
2002,6,24,10:12,1.5
2002,6,24,11:12,3.5
2002,6,24,12:12,6
2002,6,24,13:12,7.5
2002,6,24,14:12,7.5
2002,6,24,15:12,7
2002,6,24,16:12,6.5
2002,6,24,17:12,6
2002,6,24,18:12,5
2002,6,24,19:12,4.5
2002,6,24,20:12,4
2002,6,24,21:12,3
2002,6,24,22:12,3
2002,6,24,23:12,2.5
2002,6,25,00:12,2
2002,6,25,01:12,2
