Year,Month,Day,Time,Temp1
2002,6,20,00:17,3.5
2002,6,20,01:17,3.5
2002,6,20,02:17,3
2002,6,20,03:17,3
2002,6,20,04:17,3
2002,6,20,05:17,2.5
2002,6,20,06:17,2.5
2002,6,20,07:17,2.5
2002,6,20,08:17,2.5
2002,6,20,09:17,2.5
2002,6,20,10:17,3
2002,6,20,11:17,3.5
2002,6,20,12:17,4.5
2002,6,20,13:17,5
2002,6,20,14:17,6
2002,6,20,15:17,7
2002,6,20,16:17,7.5
2002,6,20,17:17,7.5
2002,6,20,18:17,6
2002,6,20,19:17,5.5
2002,6,20,20:17,5
2002,6,20,21:17,5
2002,6,20,22:17,4.5
2002,6,20,23:17,4.5
2002,6,21,00:17,4.5
2002,6,21,01:17,4.5
2002,6,21,02:17,4.5
2002,6,21,03:17,4.5
2002,6,21,04:17,4.5
2002,6,21,05:17,5
2002,6,21,06:17,5
2002,6,21,07:17,5
2002,6,21,08:17,5
2002,6,21,09:17,5.5
2002,6,21,10:17,6
2002,6,21,11:17,6.5
2002,6,21,12:17,7.5
2002,6,21,13:17,8.5
2002,6,21,14:17,9.5
2002,6,21,15:17,10.5
2002,6,21,16:17,11.5
2002,6,21,17:17,11
2002,6,21,18:17,9.5
2002,6,21,19:17,9
2002,6,21,20:17,8.5
2002,6,21,21:17,8
2002,6,21,22:17,8
2002,6,21,23:17,7.5
2002,6,22,00:17,7.5
2002,6,22,01:17,7.5
2002,6,22,02:17,7
2002,6,22,03:17,7
2002,6,22,04:17,7
2002,6,22,05:17,7
2002,6,22,06:17,6.5
2002,6,22,07:17,6.5
2002,6,22,08:17,6.5
2002,6,22,09:17,6.5
2002,6,22,10:17,7
2002,6,22,11:17,8
2002,6,22,12:17,9
2002,6,22,13:17,9.5
2002,6,22,14:17,10.5
2002,6,22,15:17,11.5
2002,6,22,16:17,12
2002,6,22,17:17,11.5
2002,6,22,18:17,10
2002,6,22,19:17,8.5
2002,6,22,20:17,7.5
2002,6,22,21:17,6.5
2002,6,22,22:17,6
2002,6,22,23:17,5.5
2002,6,23,00:17,5
2002,6,23,01:17,4.5
2002,6,23,02:17,4
2002,6,23,03:17,4
2002,6,23,04:17,4
2002,6,23,05:17,3.5
2002,6,23,06:17,4
2002,6,23,07:17,4.5
2002,6,23,08:17,4.5
2002,6,23,09:17,5
2002,6,23,10:17,5.5
2002,6,23,11:17,6
2002,6,23,12:17,7
2002,6,23,13:17,7
2002,6,23,14:17,7.5
2002,6,23,15:17,7.5
2002,6,23,16:17,7
2002,6,23,17:17,7
2002,6,23,18:17,6.5
2002,6,23,19:17,6
2002,6,23,20:17,5.5
2002,6,23,21:17,5
2002,6,23,22:17,4.5
2002,6,23,23:17,4.5
2002,6,24,00:17,4.5
2002,6,24,01:17,4
2002,6,24,02:17,3.5
2002,6,24,03:17,3
2002,6,24,04:17,3
2002,6,24,05:17,3
2002,6,24,06:17,3
2002,6,24,07:17,2.5
2002,6,24,08:17,2.5
2002,6,24,09:17,2.5
2002,6,24,10:17,2.5
2002,6,24,11:17,3
2002,6,24,12:17,4
2002,6,24,13:17,5.5
2002,6,24,14:17,7
2002,6,24,15:17,9
2002,6,24,16:17,10
