label,site,replicate,classification,latitude,longitude,elevation,aspect,slope,base_veg_cover,height
1.1,1,1,Sand,-32.178297014907,18.3141649793834,10.375551,250,2.5,27.5,16.5235955493308
1.2,1,2,Sand,-32.1796409692615,18.3152139745653,10.966331,251.16246,2.88619,50.25,18.095835663043
1.3,1,3,Sand,-32.1808219794184,18.3162140194327,9.866125,237.97598,1.6119,36.25,18.1108821733822
1.4,1,4,Sand,-32.1823039837182,18.3171289879829,8.545788,237,1.6,36.75,18.6365840918511
2.1,2,1,Loamy sand,-32.2765309922397,18.530684961006,277.003845,130.43083,3.23246,32,52.8503424986466
2.2,2,2,Sand,-32.2755079809576,18.5307260323316,248.445892,101.76466,4.1858,27.45,49.2368301025829
2.3,2,3,Sand,-32.2771090082824,18.5299010016024,249.841019,177.312,3.88456,31.25,50.1075261265214
2.4,2,4,Sand,-32.2772280313075,18.5290479753166,247.569214,195.50542,4.42749,37.7,49.0876788152432
3.1,3,1,Loamy sand,-32.3385279905051,18.9901259914041,351.414948,235.24934,5.97796,15,39.4257963241459
3.2,3,2,Loamy sand,-32.3373469803482,18.9910670276731,383.453766,228.52779,12.58619,37.7,39.0317038512859
3.3,3,3,Loamy sand,-32.3378679994494,18.9883610140532,342.868835,246.57881,5.65227,28.95,39.2549735537999
3.4,3,4,Sand,-32.3387640248984,18.987742010504,335.971497,231.07051,4.56698,30.45,43.5155966515616
4.1,4,1,Loamy sand,-32.349419016391,19.0070919692516,532.015259,106.66906,13.56029,38.8,42.1446332818465
4.2,4,2,Loamy sand,-32.3503769841045,19.0072959847748,515.125183,98.61247,14.71924,43.1,40.1790013793489
4.3,4,3,Sand,-32.3489430081099,19.0062179882079,551.822693,153.45493,7.51549,52.35,34.6825947540198
4.4,4,4,Loamy sand,-32.3483609687537,19.0049290191382,571.275269,249.81009,16.00969,34.65,35.5147235933416
5.1,5,1,Loamy sand,-32.3960570152849,19.0871089696884,662.669128,19.20828,19.97324,44.6,43.0253512537376
5.2,5,2,Loamy sand,-32.3967450018972,19.0869209636003,688.713013,24.86475,25.35921,55.25,33.4973002141343
5.3,5,3,Sand,-32.4005320295691,19.0915620233864,685.317383,328.66882,17.20713,30.75,62.3575225380428
5.4,5,4,Sand,-32.4012439884245,19.0905479807407,678.770752,332.13547,22.42946,35.25,58.6857153935225
6.1,6,1,Sand,-32.4240249954164,19.1650050133467,916.396362,48.40784,5.60223,26.3,27.8877525354605
6.2,6,2,Sand,-32.4241460300982,19.1626579966396,928.035156,34.80936,8.73548,46.75,29.1108517704313
6.3,6,3,Sand,-32.423032997176,19.1615670081228,919,50.58709,6.94373,44.8,27.3051832684063
6.4,6,4,Sand,-32.421841006726,19.1609469987452,930.052246,53.60192,6.77935,38.8,29.4862975833654
7.1,7,1,Loamy sand,-32.4587089754641,19.2397330328822,1148.238647,143.9436,6.03453,48.5,21.7186218112773
7.2,7,2,Loamy sand,-32.4567880108953,19.2371560167521,1171.886963,119.24682,4.28729,49.55,20.6252156659765
7.3,7,3,Loamy sand,-32.45565100573,19.2361439857632,1183.61792,183.42212,4.58415,43.9,23.3700915563229
7.4,7,4,Loamy sand,-32.4540400039405,19.2352969944477,1197.421753,229.62442,3.1165,42.8,22.1617059381296
8.1,8,1,Sandy loam,-32.4345649871975,19.2168009839952,1321.175781,138.96468,7.88407,63.25,22.0467670022134
8.2,8,2,Sandy loam,-32.4346570204943,19.2158170323819,1327.046875,136.93677,8.24072,46.5,23.9379303969763
8.3,8,3,Sandy loam,-32.4348140135407,19.2140659689903,1346.564331,154.31273,7.54593,56.25,24.1707863778832
8.4,8,4,Loamy sand,-32.4347180407494,19.2126050032675,1353.495361,170.46526,6.59111,47.45,18.4932446615696
9.1,9,1,Sandy loam,-32.3931420408189,19.1521930228919,1531.602783,209.23267,7.43964,75.85,18.9497178232911
