site,replicate,"pH
KCl","Resist. *
(ohm)","H+
cmol/Kg",Phosphorus,Phosphorous_censored,Potassium,Potassium_censored,Na,K_cation,Ca,Mg,"C
%",Sulfur,Sulfur_censored,"EC *
mS/m",NO3,NO3_censored
1,1,8,1270,0,51.7,FALSE,15.2,FALSE,0.27,0.04,3.1,0.5,0.26,8,FALSE,18.37,0.54,FALSE
1,2,6.6,1790,0,59,FALSE,12.5,FALSE,0.14,0.03,2.4,0.46,0.32,5,FALSE,14.4,1.4,FALSE
1,3,8.1,1310,0,53.9,FALSE,18.7,FALSE,0.21,0.05,3.9,0.59,0.33,7.4,FALSE,12.27,1.7,FALSE
1,4,8.2,1600,0,60.7,FALSE,15.9,FALSE,0.16,0.04,4.1,0.74,0.39,6.8,FALSE,12.07,2.3,FALSE
2,1,4.1,7680,0.57,2.8,FALSE,19,FALSE,0.03,0.05,0.46,0.21,0.53,3.4,TRUE,2.7,0.76,FALSE
2,2,4.4,4160,0.38,5,FALSE,16.3,FALSE,0.03,0.04,0.62,0.24,0.42,3.4,TRUE,4.95,3.9,FALSE
2,3,4.2,4660,0.54,2.2,TRUE,21.6,FALSE,0.04,0.06,0.62,0.23,0.57,3.4,TRUE,3.65,2.3,FALSE
2,4,4,7160,0.6,2.2,TRUE,18.2,FALSE,0.04,0.05,0.57,0.22,0.42,3.4,TRUE,2.63,1.6,FALSE
3,1,5.1,2420,0.47,9.9,FALSE,36.2,FALSE,0.06,0.09,1.2,0.57,0.79,3.4,TRUE,8.29,10.4,FALSE
3,2,4.3,3790,0.92,5.2,FALSE,45.4,FALSE,0.09,0.12,1.2,0.5,1.03,3.4,TRUE,6.12,2.1,FALSE
3,3,5.7,4620,0.33,8,FALSE,31.5,FALSE,0.04,0.08,1.1,0.45,0.52,3.4,TRUE,5.38,5.2,FALSE
3,4,4.8,11060,0.39,3.3,FALSE,19.1,FALSE,0.04,0.05,0.87,0.25,0.42,3.4,TRUE,2.35,0.91,FALSE
4,1,4.3,5020,0.64,4.1,FALSE,43.6,FALSE,0.07,0.11,0.9,0.47,0.83,3.4,TRUE,4.82,2.3,FALSE
4,2,4.8,5500,0.66,5.2,FALSE,41.2,FALSE,0.07,0.1,1.5,0.6,0.84,3.4,TRUE,3.83,2.2,FALSE
4,3,4.4,13210,0.62,6.2,FALSE,21.3,FALSE,0.03,0.05,0.24,0.14,0.51,3.4,TRUE,2.04,0.81,FALSE
4,4,4.3,10790,0.99,4.7,FALSE,52.4,FALSE,0.04,0.13,0.33,0.23,0.78,7.3,FALSE,2.96,0.8,FALSE
5,1,4.1,7590,1.92,24.9,FALSE,58.1,FALSE,0.05,0.15,1.3,0.85,1.79,3.6,FALSE,3.35,1.5,FALSE
5,2,3.7,5460,2.23,9.8,FALSE,48.8,FALSE,0.06,0.12,0.82,0.48,1.58,4.2,FALSE,4.28,2.2,FALSE
5,3,4.4,5670,0.63,3.2,FALSE,26.8,FALSE,0.05,0.07,0.6,0.38,0.62,3.4,TRUE,3.95,1.5,FALSE
5,4,4.1,6090,0.99,6,FALSE,24.6,FALSE,0.06,0.06,0.83,0.39,1.12,3.4,TRUE,4.87,1.1,FALSE
6,1,4.5,18610,0.59,10.4,FALSE,15,FALSE,0.03,0.04,0.2,0.1,0.26,5.8,FALSE,15.92,0.6,FALSE
6,2,3.8,8710,1.48,6.1,FALSE,26.6,FALSE,0.06,0.07,0.58,0.29,0.95,3.4,TRUE,2.97,0.36,TRUE
6,3,3.9,10580,1.46,6.9,FALSE,29.5,FALSE,0.05,0.08,0.48,0.22,1.06,4.1,FALSE,2.84,0.77,FALSE
6,4,3.9,12610,1.2,6,FALSE,29.5,FALSE,0.04,0.08,0.36,0.16,0.98,3.4,TRUE,2.22,0.64,FALSE
7,1,4.7,7020,0.71,4.8,FALSE,101,FALSE,0.08,0.26,1.8,0.66,0.99,3.4,TRUE,2.75,1.3,FALSE
7,2,5,5750,0.75,5.1,FALSE,97.4,FALSE,0.09,0.25,2.2,0.7,1.13,3.4,TRUE,4.9,1.1,FALSE
7,3,4.8,7580,0.76,4.4,FALSE,96.9,FALSE,0.1,0.25,1.5,0.59,1.02,3.4,TRUE,3.22,0.76,FALSE
7,4,4.6,7780,0.6,3.3,FALSE,54.2,FALSE,0.07,0.14,0.81,0.34,0.67,3.4,TRUE,3.79,0.91,FALSE
8,1,5,3220,0.6,3,FALSE,116,FALSE,0.3,0.3,2,2,1.26,6.8,FALSE,6.72,0.36,TRUE
8,2,4.6,5300,0.88,3.6,FALSE,143,FALSE,0.12,0.37,0.99,0.79,0.9,4.4,FALSE,4.61,0.85,FALSE
8,3,4.2,6050,1.56,4.6,FALSE,118,FALSE,0.13,0.3,1.1,0.84,1.65,3.4,TRUE,4.74,1.4,FALSE
8,4,4.2,8650,1.23,4,FALSE,93,FALSE,0.11,0.24,0.92,0.52,0.92,3.4,TRUE,3.16,0.61,FALSE
9,1,3.9,4860,2.56,9.7,FALSE,143,FALSE,0.1,0.36,0.75,0.43,2.2,9,FALSE,7.91,2.2,FALSE
9,2,3.9,5220,3.21,12,FALSE,105,FALSE,0.08,0.27,0.96,0.36,2.26,7.8,FALSE,7.12,3.2,FALSE
9,3,3.7,6700,2.59,14.2,FALSE,71.8,FALSE,0.04,0.18,0.88,0.24,1.94,4.4,FALSE,4.87,2.1,FALSE
9,4,3.9,7820,3.01,6.6,FALSE,77.7,FALSE,0.06,0.2,0.38,0.21,2.11,12.1,FALSE,4.41,1.9,FALSE
10,1,3.7,7280,2.63,8.5,FALSE,64,FALSE,0.06,0.16,0.93,0.43,1.85,4.3,FALSE,4.65,2.3,FALSE
10,2,3.8,6250,2.42,7.5,FALSE,86.1,FALSE,0.05,0.22,0.87,0.42,1.7,4.7,FALSE,5.01,1.4,FALSE
10,3,4,4930,2.22,7.9,FALSE,85.9,FALSE,0.05,0.22,1.1,0.59,1.73,4.2,FALSE,5.71,2.2,FALSE
10,4,3.7,7030,2.73,8.3,FALSE,72.9,FALSE,0.07,0.19,0.6,0.32,1.62,5.3,FALSE,5.2,2,FALSE
11,1,3.6,3940,1.43,2.2,TRUE,12.2,FALSE,0.06,0.03,0.24,0.17,0.91,6.4,FALSE,6.06,4.9,FALSE
11,2,3.4,2800,1.35,2.6,FALSE,11.7,TRUE,0.05,0.03,0.19,0.15,0.84,5.3,FALSE,8.91,9,FALSE
11,3,3.2,2780,1.83,3.6,FALSE,19.8,FALSE,0.06,0.05,0.67,0.21,1.13,8,FALSE,11.05,6.4,FALSE
11,4,3.4,5360,2.12,2.4,FALSE,20.2,FALSE,0.06,0.05,0.33,0.22,1.24,7.1,FALSE,5.31,3,FALSE
12,1,3.8,4640,2.02,6.8,FALSE,57,FALSE,0.06,0.14,0.46,0.25,1.24,7,FALSE,6.95,6.4,FALSE
12,2,3.9,4210,1.66,6.9,FALSE,81.6,FALSE,0.06,0.21,0.56,0.34,1.46,7.4,FALSE,7.33,6,FALSE
12,3,3.8,3510,2.14,4.6,FALSE,94.4,FALSE,0.08,0.24,1.1,0.57,1.87,5.8,FALSE,9.19,7.5,FALSE
