site,replicate,trap,year,season,bare_ground,litter,rock,protea,restio,erica,strandveld,succ_karoo,tot_veg
1,1,1,2022,October,85,10,0,0,0,0,5,0,5
1,1,2,2022,October,94,1,0,0,0,0,5,0,5
1,1,3,2022,October,90,5,0,0,0,0,5,0,5
1,1,4,2022,October,55,15,0,0,0,0,30,0,30
1,1,5,2022,October,55,10,0,0,0,0,35,0,35
1,1,6,2022,October,60,20,0,0,0,0,20,0,20
1,1,7,2022,October,20,15,0,0,0,0,65,0,65
1,1,8,2022,October,50,10,0,0,0,0,40,0,40
1,1,9,2022,October,35,30,0,0,0,0,35,0,35
1,1,10,2022,October,75,5,0,0,0,0,20,0,20
1,2,1,2022,October,25,20,0,0,0,0,55,0,55
1,2,2,2022,October,45,10,0,0,0,0,45,0,45
1,2,3,2022,October,45,30,0,0,0,0,25,0,25
1,2,4,2022,October,20,5,0,0,0,0,75,0,75
1,2,5,2022,October,45,10,0,0,0,0,45,0,45
1,2,6,2022,October,20,25,0,0,0,0,55,0,55
1,2,7,2022,October,25,15,0,0,0,0,60,0,60
1,2,8,2022,October,15,5,0,0,0,0,80,0,80
1,2,9,2022,October,20,10,0,0,0,0,70,0,70
1,2,10,2022,October,15,15,0,0,0,0,70,0,70
1,3,1,2022,October,75,10,0,0,0,0,15,0,15
1,3,2,2022,October,55,20,0,0,0,0,25,0,25
1,3,3,2022,October,5,5,0,0,0,0,90,0,90
1,3,4,2022,October,55,10,0,0,0,0,35,0,35
1,3,5,2022,October,65,5,0,0,0,0,30,0,30
1,3,6,2022,October,75,10,0,0,0,0,15,0,15
1,3,7,2022,October,85,5,0,0,0,0,10,0,10
1,3,8,2022,October,50,5,0,0,0,0,45,0,45
1,3,9,2022,October,75,10,0,0,0,0,15,0,15
1,3,10,2022,October,30,10,0,0,0,0,60,0,60
1,4,1,2022,October,45,10,0,0,0,0,45,0,45
1,4,2,2022,October,35,10,0,0,0,0,55,0,55
1,4,3,2022,October,10,10,0,0,0,0,80,0,80
1,4,4,2022,October,80,5,0,0,0,0,15,0,15
1,4,5,2022,October,60,10,0,0,0,0,30,0,30
1,4,6,2022,October,40,25,0,0,0,0,35,0,35
1,4,7,2022,October,60,15,0,0,0,0,25,0,25
1,4,8,2022,October,50,5,0,0,0,0,45,0,45
1,4,9,2022,October,35,10,0,0,0,0,55,0,55
1,4,10,2022,October,60,5,0,0,0,0,35,0,35
2,1,1,2022,October,60,20,0,0,5,15,0,0,20
2,1,2,2022,October,20,21,0,0,55,4,0,0,59
2,1,3,2022,October,39,20,0,0,35,6,0,0,41
2,1,4,2022,October,35,38,0,0,7,20,0,0,27
2,1,5,2022,October,35,39,0,0,1,25,0,0,26
2,1,6,2022,October,30,50,0,0,2,18,0,0,20
2,1,7,2022,October,30,40,0,0,20,10,0,0,30
2,1,8,2022,October,44,25,0,0,1,30,0,0,31
2,1,9,2022,October,22,42,0,1,15,20,0,0,36
2,1,10,2022,October,60,15,0,0,20,5,0,0,25
2,2,1,2022,October,10,19,30,0,1,40,0,0,41
2,2,2,2022,October,25,40,0,0,10,25,0,0,35
2,2,3,2022,October,25,55,0,0,15,5,0,0,20
2,2,4,2022,October,35,25,0,0,20,20,0,0,40
2,2,5,2022,October,54,30,0,0,1,15,0,0,16
2,2,6,2022,October,20,35,10,0,0,35,0,0,35
2,2,7,2022,October,45,55,0,0,0,0,0,0,0
2,2,8,2022,October,30,19,10,0,1,40,0,0,41
2,2,9,2022,October,60,5,0,0,10,25,0,0,35
2,2,10,2022,October,55,15,0,0,0,30,0,0,30
2,3,1,2022,October,54,10,0,0,6,30,0,0,36
2,3,2,2022,October,70,10,0,5,5,10,0,0,20
2,3,3,2022,October,69,10,0,0,11,10,0,0,21
2,3,4,2022,October,55,20,0,0,10,15,0,0,25
2,3,5,2022,October,49,20,0,0,11,20,0,0,31
2,3,6,2022,October,65,5,0,0,5,25,0,0,30
2,3,7,2022,October,59,15,0,0,6,20,0,0,26
2,3,8,2022,October,74,5,0,0,6,15,0,0,21
2,3,9,2022,October,22,22,0,0,6,50,0,0,56
2,3,10,2022,October,35,10,0,20,5,30,0,0,55
2,4,1,2022,October,75,10,0,0,10,5,0,0,15
2,4,2,2022,October,54,10,0,15,11,10,0,0,36
2,4,3,2022,October,50,10,0,10,10,20,0,0,40
2,4,4,2022,October,44,25,0,0,6,35,0,0,41
2,4,5,2022,October,55,25,0,0,10,10,0,0,20
2,4,6,2022,October,15,35,0,30,10,10,0,0,50
2,4,7,2022,October,45,20,0,0,20,15,0,0,35
2,4,8,2022,October,44,20,0,0,31,15,0,0,46
2,4,9,2022,October,20,25,0,0,40,15,0,0,55
2,4,10,2022,October,24,30,0,0,6,40,0,0,46
3,1,1,2022,October,25,20,35,0,10,10,0,0,20
3,1,2,2022,October,89,5,5,0,0,1,0,0,1
3,1,3,2022,October,80,15,5,0,0,0,0,0,0
3,1,4,2022,October,65,15,20,0,0,0,0,0,0
3,1,5,2022,October,55,5,5,20,5,10,0,0,35
3,1,6,2022,October,75,5,10,0,10,0,0,0,10
3,1,7,2022,October,15,10,20,0,0,55,0,0,55
3,1,8,2022,October,73,15,10,0,0,2,0,0,2
3,1,9,2022,October,55,10,5,0,0,30,0,0,30
3,1,10,2022,October,65,15,15,0,0,5,0,0,5
3,2,1,2022,October,43,2,20,15,10,10,0,0,35
3,2,2,2022,October,55,5,10,5,5,20,0,0,30
3,2,3,2022,October,45,5,5,0,5,40,0,0,45
3,2,4,2022,October,75,2,1,0,2,20,0,0,22
3,2,5,2022,October,60,5,2,0,3,30,0,0,33
3,2,6,2022,October,63,5,5,5,20,2,0,0,27
3,2,7,2022,October,53,2,10,0,20,15,0,0,35
3,2,8,2022,October,40,5,10,15,15,15,0,0,45
3,2,9,2022,October,43,5,10,25,15,2,0,0,42
3,2,10,2022,October,45,5,10,0,5,35,0,0,40
3,3,1,2022,October,30,10,25,0,20,15,0,0,35
3,3,2,2022,October,55,10,0,0,15,20,0,0,35
3,3,3,2022,October,48,2,5,0,10,35,0,0,45
3,3,4,2022,October,87,5,5,0,1,2,0,0,3
3,3,5,2022,October,75,3,1,0,1,20,0,0,21
3,3,6,2022,October,82,5,3,0,0,10,0,0,10
3,3,7,2022,October,70,20,5,0,0,5,0,0,5
3,3,8,2022,October,50,10,5,0,0,35,0,0,35
3,3,9,2022,October,70,10,5,0,0,15,0,0,15
3,3,10,2022,October,63,10,2,0,0,25,0,0,25
3,4,1,2022,October,73,10,10,0,2,5,0,0,7
3,4,2,2022,October,30,35,5,0,10,20,0,0,30
3,4,3,2022,October,44,20,1,0,0,35,0,0,35
3,4,4,2022,October,55,15,5,0,20,5,0,0,25
3,4,5,2022,October,35,20,5,0,0,40,0,0,40
3,4,6,2022,October,30,30,0,0,15,25,0,0,40
3,4,7,2022,October,60,10,5,0,15,10,0,0,25
3,4,8,2022,October,20,63,1,0,11,5,0,0,16
3,4,9,2022,October,35,20,0,0,15,30,0,0,45
3,4,10,2022,October,40,15,10,0,20,15,0,0,35
4,1,1,2022,October,10,73,10,0,2,5,0,0,7
4,1,2,2022,October,15,30,5,0,10,40,0,0,50
4,1,3,2022,October,30,30,10,0,0,30,0,0,30
4,1,4,2022,October,10,38,0,0,2,50,0,0,52
4,1,5,2022,October,5,10,45,0,15,25,0,0,40
4,1,6,2022,October,20,51,1,0,3,25,0,0,28
4,1,7,2022,October,10,33,20,0,17,20,0,0,37
4,1,8,2022,October,30,53,0,0,5,12,0,0,17
4,1,9,2022,October,20,15,10,0,20,35,0,0,55
4,1,10,2022,October,20,35,10,0,10,25,0,0,35
4,2,1,2022,October,19,10,10,50,11,0,0,0,61
4,2,2,2022,October,39,10,15,0,1,35,0,0,36
4,2,3,2022,October,25,30,5,0,5,35,0,0,40
4,2,4,2022,October,48,10,15,0,2,25,0,0,27
4,2,5,2022,October,20,30,0,0,48,2,0,0,50
4,2,6,2022,October,10,45,0,0,10,35,0,0,45
4,2,7,2022,October,35,15,2,0,0,48,0,0,48
4,2,8,2022,October,40,15,0,0,5,40,0,0,45
4,2,9,2022,October,54,20,1,0,5,20,0,0,25
4,2,10,2022,October,55,5,10,0,25,5,0,0,30
4,3,1,2022,October,42,5,5,0,13,35,0,0,48
4,3,2,2022,October,20,10,5,1,15,49,0,0,65
4,3,3,2022,October,20,5,5,0,15,55,0,0,70
4,3,4,2022,October,10,15,10,0,15,50,0,0,65
4,3,5,2022,October,47,5,0,0,23,25,0,0,48
4,3,6,2022,October,40,15,0,25,10,10,0,0,45
4,3,7,2022,October,33,30,0,2,15,20,0,0,37
4,3,8,2022,October,49,10,1,0,15,25,0,0,40
4,3,9,2022,October,29,10,1,0,50,10,0,0,60
4,3,10,2022,October,30,10,1,0,0,59,0,0,59
4,4,1,2022,October,40,10,20,0,5,25,0,0,30
4,4,2,2022,October,5,65,5,0,5,20,0,0,25
4,4,3,2022,October,5,10,60,0,10,15,0,0,25
4,4,4,2022,October,15,5,20,0,5,55,0,0,60
4,4,5,2022,October,50,5,20,0,5,20,0,0,25
4,4,6,2022,October,15,10,57,0,3,15,0,0,18
4,4,7,2022,October,10,10,45,0,15,20,0,0,35
4,4,8,2022,October,5,5,40,0,5,45,0,0,50
4,4,9,2022,October,20,10,50,0,5,15,0,0,20
4,4,10,2022,October,15,35,10,0,20,20,0,0,40
5,1,1,2022,October,15,55,15,0,10,5,0,0,15
5,1,2,2022,October,15,20,0,35,5,25,0,0,65
5,1,3,2022,October,5,10,65,0,10,10,0,0,20
5,1,4,2022,October,58,15,2,0,10,15,0,0,25
5,1,5,2022,October,5,10,70,0,5,10,0,0,15
5,1,6,2022,October,5,49,20,0,6,20,0,0,26
5,1,7,2022,October,5,15,20,0,5,55,0,0,60
5,1,8,2022,October,25,15,10,0,10,40,0,0,50
5,1,9,2022,October,15,10,20,0,15,40,0,0,55
5,1,10,2022,October,10,20,15,0,5,50,0,0,55
5,2,1,2022,October,5,10,65,0,5,15,0,0,20
5,2,2,2022,October,5,5,10,0,10,70,0,0,80
5,2,3,2022,October,15,10,40,0,20,15,0,0,35
5,2,4,2022,October,5,20,20,0,5,50,0,0,55
5,2,5,2022,October,5,10,20,0,5,60,0,0,65
5,2,6,2022,October,15,5,10,0,10,60,0,0,70
5,2,7,2022,October,5,10,20,15,40,10,0,0,65
5,2,8,2022,October,5,15,20,25,25,10,0,0,60
5,2,9,2022,October,10,5,55,0,15,15,0,0,30
5,2,10,2022,October,5,5,45,0,20,25,0,0,45
5,3,1,2022,October,20,15,30,0,20,15,0,0,35
5,3,2,2022,October,10,45,30,0,5,10,0,0,15
5,3,3,2022,October,10,5,45,0,30,10,0,0,40
5,3,4,2022,October,15,5,40,0,0,40,0,0,40
5,3,5,2022,October,0,5,55,0,0,40,0,0,40
5,3,6,2022,October,0,5,85,0,0,10,0,0,10
5,3,7,2022,October,0,0,55,0,5,40,0,0,45
