SEAS   YR  ANOM
DJF  1950 -1.47
JFM  1950 -1.27
FMA  1950 -1.11
MAM  1950 -1.09
AMJ  1950 -1.00
MJJ  1950 -0.71
JJA  1950 -0.41
JAS  1950 -0.24
ASO  1950 -0.22
SON  1950 -0.29
OND  1950 -0.41
NDJ  1950 -0.56
DJF  1951 -0.50
JFM  1951 -0.17
FMA  1951  0.25
MAM  1951  0.60
AMJ  1951  0.64
MJJ  1951  0.69
JJA  1951  0.68
JAS  1951  0.81
ASO  1951  0.87
SON  1951  0.98
OND  1951  0.91
NDJ  1951  0.80
DJF  1952  0.58
JFM  1952  0.44
FMA  1952  0.42
MAM  1952  0.44
AMJ  1952  0.31
MJJ  1952  0.07
JJA  1952 -0.04
JAS  1952  0.03
ASO  1952  0.13
SON  1952  0.01
OND  1952 -0.01
NDJ  1952  0.20
DJF  1953  0.53
JFM  1953  0.76
FMA  1953  0.77
MAM  1953  0.83
AMJ  1953  0.84
MJJ  1953  0.79
JJA  1953  0.67
JAS  1953  0.66
ASO  1953  0.70
SON  1953  0.77
OND  1953  0.81
NDJ  1953  0.93
DJF  1954  0.99
JFM  1954  0.73
FMA  1954  0.14
MAM  1954 -0.20
AMJ  1954 -0.34
MJJ  1954 -0.26
JJA  1954 -0.49
JAS  1954 -0.74
ASO  1954 -0.85
SON  1954 -0.70
OND  1954 -0.56
NDJ  1954 -0.41
DJF  1955 -0.38
JFM  1955 -0.32
FMA  1955 -0.35
MAM  1955 -0.39
AMJ  1955 -0.37
MJJ  1955 -0.36
JJA  1955 -0.44
JAS  1955 -0.61
ASO  1955 -1.02
SON  1955 -1.43
OND  1955 -1.63
NDJ  1955 -1.27
DJF  1956 -0.75
JFM  1956 -0.32
FMA  1956 -0.20
MAM  1956 -0.06
AMJ  1956 -0.05
MJJ  1956 -0.08
JJA  1956 -0.28
JAS  1956 -0.32
ASO  1956 -0.31
SON  1956 -0.33
OND  1956 -0.37
NDJ  1956 -0.25
DJF  1957  0.04
JFM  1957  0.41
FMA  1957  0.73
MAM  1957  0.97
AMJ  1957  1.10
MJJ  1957  1.18
JJA  1957  1.23
JAS  1957  1.26
ASO  1957  1.23
SON  1957  1.31
OND  1957  1.52
NDJ  1957  1.87
DJF  1958  2.02
JFM  1958  1.88
FMA  1958  1.40
MAM  1958  1.07
AMJ  1958  0.83
MJJ  1958  0.68
JJA  1958  0.49
JAS  1958  0.26
ASO  1958  0.18
SON  1958  0.25
OND  1958  0.39
NDJ  1958  0.68
DJF  1959  0.77
JFM  1959  0.84
FMA  1959  0.66
MAM  1959  0.44
AMJ  1959  0.25
MJJ  1959 -0.06
JJA  1959 -0.23
JAS  1959 -0.40
ASO  1959 -0.29
SON  1959 -0.26
OND  1959 -0.11
NDJ  1959 -0.02
DJF  1960  0.03
JFM  1960  0.04
FMA  1960  0.00
MAM  1960  0.08
AMJ  1960  0.06
MJJ  1960  0.04
JJA  1960  0.11
JAS  1960  0.17
ASO  1960  0.17
SON  1960  0.07
OND  1960  0.01
NDJ  1960  0.02
DJF  1961  0.05
JFM  1961  0.06
FMA  1961  0.03
MAM  1961  0.10
AMJ  1961  0.26
MJJ  1961  0.34
JJA  1961  0.20
JAS  1961 -0.09
ASO  1961 -0.32
SON  1961 -0.31
OND  1961 -0.24
NDJ  1961 -0.12
DJF  1962 -0.13
JFM  1962 -0.09
FMA  1962 -0.11
MAM  1962 -0.22
AMJ  1962 -0.26
MJJ  1962 -0.21
JJA  1962 -0.11
JAS  1962 -0.18
ASO  1962 -0.25
SON  1962 -0.40
OND  1962 -0.46
NDJ  1962 -0.50
DJF  1963 -0.38
JFM  1963 -0.10
FMA  1963  0.17
MAM  1963  0.24
AMJ  1963  0.23
MJJ  1963  0.41
JJA  1963  0.73
JAS  1963  0.99
ASO  1963  1.04
SON  1963  1.10
OND  1963  1.22
NDJ  1963  1.25
DJF  1964  1.13
JFM  1964  0.68
FMA  1964  0.10
MAM  1964 -0.37
AMJ  1964 -0.63
MJJ  1964 -0.59
JJA  1964 -0.59
JAS  1964 -0.62
ASO  1964 -0.72
SON  1964 -0.76
OND  1964 -0.70
NDJ  1964 -0.51
DJF  1965 -0.25
JFM  1965  0.07
FMA  1965  0.15
MAM  1965  0.37
AMJ  1965  0.62
MJJ  1965  1.03
JJA  1965  1.38
JAS  1965  1.67
ASO  1965  1.94
SON  1965  2.03
OND  1965  2.04
NDJ  1965  1.90
DJF  1966  1.65
JFM  1966  1.52
FMA  1966  1.26
MAM  1966  0.87
AMJ  1966  0.46
MJJ  1966  0.29
JJA  1966  0.27
JAS  1966  0.13
ASO  1966 -0.02
SON  1966 -0.07
OND  1966 -0.12
NDJ  1966 -0.17
DJF  1967 -0.17
JFM  1967 -0.20
FMA  1967 -0.39
MAM  1967 -0.40
AMJ  1967 -0.19
MJJ  1967  0.18
JJA  1967  0.30
JAS  1967  0.10
ASO  1967 -0.02
SON  1967 -0.08
OND  1967  0.01
NDJ  1967 -0.02
DJF  1968 -0.21
JFM  1968 -0.33
FMA  1968 -0.31
MAM  1968 -0.19
AMJ  1968  0.16
MJJ  1968  0.45
JJA  1968  0.69
JAS  1968  0.58
ASO  1968  0.45
SON  1968  0.55
OND  1968  0.77
NDJ  1968  1.06
DJF  1969  1.24
JFM  1969  1.13
FMA  1969  0.85
MAM  1969  0.54
AMJ  1969  0.35
MJJ  1969  0.23
JJA  1969  0.23
JAS  1969  0.43
ASO  1969  0.72
SON  1969  0.78
OND  1969  0.74
NDJ  1969  0.57
DJF  1970  0.51
JFM  1970  0.31
FMA  1970  0.25
