"Species","ElevSlope_2002","ElevSlope_2022","Status"
"Blenosia.sp..1","1700_NA","","Lost species (2022 only)"
"Broomium.sp..1","300_NA","","Lost species (2022 only)"
"Broomium.sp..2","300_NA","","Lost species (2022 only)"
"Cicindela.sp.1","1300_NA, 1900_NA","","Lost species (2022 only)"
"Cryptochile.assimilis","200_NA","","Lost species (2022 only)"
"Cryptochile.setipennis","300_NA, 500_NA","","Lost species (2022 only)"
"Cryptochile.sp.1","1100_NA, 200_NA, 500_NA, 900_NA","900_NA","Shifted elevation"
"Cryptochile.sp.2","0_NA","","Lost species (2022 only)"
"Gonogenia.sp..1","1100_NA, 900_NA","1100_NA","Shifted elevation"
"Harpalus.sp..1","200_NA","","Lost species (2022 only)"
"Harpalus.sp..2","1100_NA, 1300_NA, 900_NA","","Lost species (2022 only)"
"Herpiscius.spinolae","300_NA","","Lost species (2022 only)"
"Horatoma.sp.1","200_NA","","Lost species (2022 only)"
"Hypomelus.sp..2","500_NA","","Lost species (2022 only)"
"Hypomelus.sp.1","1100_NA, 1700_NA, 900_NA","","Lost species (2022 only)"
"Hystrichopus.sp..1","1900_NA","","Lost species (2022 only)"
"Mariazofia.sp.1","700_NA","","Lost species (2022 only)"
"Moluris.globulicollis","1500_NA, 1700_NA, 1900_NA","","Lost species (2022 only)"
"Ocnodes.sp..6","0_NA","","Lost species (2022 only)"
"Ocnodes.sp.1","200_NA","","Lost species (2022 only)"
"Ocnodes.sp.2","200_NA","","Lost species (2022 only)"
"Ocnodes.sp.3","300_NA","","Lost species (2022 only)"
"Ocnodes.sp.4","300_NA","","Lost species (2022 only)"
"Ocnodes.sp.5","200_NA","","Lost species (2022 only)"
"Oncotus.cedrimontis","300_NA, 500_NA","","Lost species (2022 only)"
"Oxura.sp..1","300_NA","","Lost species (2022 only)"
"Pachynotelus.sp.2","300_NA, 500_NA, 700_NA","","Lost species (2022 only)"
"Physadesmia.sp..1","0_NA","","Lost species (2022 only)"
"Planostibes.sp..1","200_NA","","Lost species (2022 only)"
"Psammodes.longicornis","0_NA","","Lost species (2022 only)"
"Scarites.rugosus","0_NA","","Lost species (2022 only)"
"Somaticus.sp..4","300_NA, 500_NA","","Lost species (2022 only)"
"Somaticus.sp..5","1100_NA","","Lost species (2022 only)"
"Somaticus.sp.1","0_NA","","Lost species (2022 only)"
"Somaticus.sp.2","300_NA, 500_NA, 700_NA","","Lost species (2022 only)"
"Somaticus.sp.3","0_NA","","Lost species (2022 only)"
"Stenocara.sp.1","1300_NA, 1500_NA, 1700_NA","","Lost species (2022 only)"
"X.Pachynotelus.sp.1","300_NA","","Lost species (2022 only)"
"anthia_decemguttata","1100_NA, 1300_NA, 1500_NA, 1700_NA, 1900_NA, 500_NA, 700_NA, 900_NA","1100_NA, 1700_NA, 1900_NA","Shifted elevation"
"cicindela_lurida","1100_NA, 1300_NA, 1900_NA, 300_NA","","Lost species (2022 only)"
"stenocara_dentata","1100_NA, 1300_NA, 1500_NA, 1700_NA, 300_NA, 500_NA","500_NA","Shifted elevation"
"zophosis_gracilicornis","0_NA, 1100_NA, 1300_NA, 1500_NA, 1700_NA, 200_NA, 300_NA, 500_NA, 700_NA, 900_NA","1100_NA, 200_NA, 500_NA, 700_NA, 900_NA","Shifted elevation"
