"Species","VegTypes_2002","VegTypes_2022","Status"
"Blenosia.sp..1","ericaceous","","Lost species (2022 only)"
"Broomium.sp..1","proteoid","","Lost species (2022 only)"
"Broomium.sp..2","proteoid","","Lost species (2022 only)"
"Cicindela.sp.1","alpine, ericaceous","","Lost species (2022 only)"
"Cryptochile.assimilis","restioid","","Lost species (2022 only)"
"Cryptochile.setipennis","proteoid","","Lost species (2022 only)"
"Cryptochile.sp.1","ericaceous, restioid, succulent_karoo","restioid","Shifted vegetation type"
"Cryptochile.sp.2","strandveld","","Lost species (2022 only)"
"Gonogenia.sp..1","ericaceous, restioid","ericaceous","Shifted vegetation type"
"Harpalus.sp..1","restioid","","Lost species (2022 only)"
"Harpalus.sp..2","ericaceous, restioid","","Lost species (2022 only)"
"Herpiscius.spinolae","proteoid","","Lost species (2022 only)"
"Horatoma.sp.1","restioid","","Lost species (2022 only)"
"Hypomelus.sp..2","succulent_karoo","","Lost species (2022 only)"
"Hypomelus.sp.1","ericaceous, restioid","","Lost species (2022 only)"
"Hystrichopus.sp..1","alpine","","Lost species (2022 only)"
"Mariazofia.sp.1","proteoid","","Lost species (2022 only)"
"Moluris.globulicollis","alpine, ericaceous","","Lost species (2022 only)"
"Ocnodes.sp..6","strandveld","","Lost species (2022 only)"
"Ocnodes.sp.1","restioid","","Lost species (2022 only)"
"Ocnodes.sp.2","restioid","","Lost species (2022 only)"
"Ocnodes.sp.3","proteoid","","Lost species (2022 only)"
"Ocnodes.sp.4","proteoid","","Lost species (2022 only)"
"Ocnodes.sp.5","restioid","","Lost species (2022 only)"
"Oncotus.cedrimontis","proteoid","","Lost species (2022 only)"
"Oxura.sp..1","proteoid","","Lost species (2022 only)"
"Pachynotelus.sp.2","proteoid","","Lost species (2022 only)"
"Physadesmia.sp..1","strandveld","","Lost species (2022 only)"
"Planostibes.sp..1","restioid","","Lost species (2022 only)"
"Psammodes.longicornis","strandveld","","Lost species (2022 only)"
"Scarites.rugosus","strandveld","","Lost species (2022 only)"
"Somaticus.sp..4","proteoid","","Lost species (2022 only)"
"Somaticus.sp..5","ericaceous","","Lost species (2022 only)"
"Somaticus.sp.1","strandveld","","Lost species (2022 only)"
"Somaticus.sp.2","proteoid","","Lost species (2022 only)"
"Somaticus.sp.3","strandveld","","Lost species (2022 only)"
"Stenocara.sp.1","ericaceous","","Lost species (2022 only)"
"X.Pachynotelus.sp.1","proteoid","","Lost species (2022 only)"
"anthia_decemguttata","alpine, ericaceous, proteoid, restioid","alpine, ericaceous","Shifted vegetation type"
"cicindela_lurida","alpine, ericaceous, proteoid","","Lost species (2022 only)"
"stenocara_dentata","ericaceous, proteoid, succulent_karoo","succulent_karoo","Shifted vegetation type"
"zophosis_gracilicornis","ericaceous, proteoid, restioid, strandveld, succulent_karoo","ericaceous, proteoid, restioid, succulent_karoo","Shifted vegetation type"
