"Species","Veg_2002_2003","Stat_2002_2003","Veg_2022_2023","Stat_2022_2023","Status"
"Cryptochile.sp.1","succulent_karoo",0.869086174619204,NA,NA,"Lost indicator (2022 only)"
"Scarites.rugosus","strandveld",0.866025403784439,NA,NA,"Lost indicator (2022 only)"
"Cicindela.sp.1","alpine",0.862662185627507,NA,NA,"Lost indicator (2022 only)"
"Cryptochile.sp.2","strandveld",0.707106781186548,NA,NA,"Lost indicator (2022 only)"
"Somaticus.sp.2","proteoid",0.707106781186548,NA,NA,"Lost indicator (2022 only)"
"Somaticus.sp.3","strandveld",0.707106781186548,NA,NA,"Lost indicator (2022 only)"
"Hystrichopus.sp..1","alpine",0.707106781186548,NA,NA,"Lost indicator (2022 only)"
"stenocara_dentata","ericaceous",0.70524927735509,"succulent_karoo",0.707106781186548,"Shifted indicator (changed vegetation type)"
"anthia_decemguttata","ericaceous",0.686068258391549,NA,NA,"Lost indicator (2022 only)"
"Moluris.globulicollis","alpine",0.603022689155527,NA,NA,"Lost indicator (2022 only)"
"Cryptochile.setipennis","proteoid",0.577350269189626,NA,NA,"Lost indicator (2022 only)"
"Pachynotelus.sp.2","proteoid",0.577350269189626,NA,NA,"Lost indicator (2022 only)"
"Somaticus.sp..4","proteoid",0.577350269189626,NA,NA,"Lost indicator (2022 only)"
"Oncotus.cedrimontis","proteoid",0.5,NA,NA,"Lost indicator (2022 only)"
"Horatoma.sp.1","restioid",0.5,NA,NA,"Lost indicator (2022 only)"
"Broomium.sp..1","proteoid",0.5,NA,NA,"Lost indicator (2022 only)"
"zophosis_gracilicornis",NA,NA,"succulent_karoo",0.664618530746053,"New indicator (2023 only)"
