site,replicate,latitude,longitude,biome,elevation,country,province,locality,collector,method
1,1,-32.178297014907,18.3141649793834,Strandveld,10.375551,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
1,2,-32.1796409692615,18.3152139745653,Strandveld,10.966331,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
1,3,-32.1808219794184,18.3162140194327,Strandveld,9.866125,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
1,4,-32.1823039837182,18.3171289879829,Strandveld,8.545788,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
2,1,-32.2765309922397,18.530684961006,Mountain Fynbos,277.003845,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
2,2,-32.2755079809576,18.5307260323316,Mountain Fynbos,248.445892,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
2,3,-32.2771090082824,18.5299010016024,Mountain Fynbos,249.841019,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
2,4,-32.2772280313075,18.5290479753166,Mountain Fynbos,247.569214,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
3,1,-32.3385279905051,18.9901259914041,Mountain Fynbos,351.414948,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
3,2,-32.3373469803482,18.9910670276731,Mountain Fynbos,383.453766,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
3,3,-32.3378679994494,18.9883610140532,Mountain Fynbos,342.868835,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
3,4,-32.3387640248984,18.987742010504,Mountain Fynbos,335.971497,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
4,1,-32.349419016391,19.0070919692516,Mountain Fynbos,532.015259,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
4,2,-32.3503769841045,19.0072959847748,Mountain Fynbos,515.125183,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
4,3,-32.3489430081099,19.0062179882079,Mountain Fynbos,551.822693,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
4,4,-32.3483609687537,19.0049290191382,Mountain Fynbos,571.275269,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
5,1,-32.3960570152849,19.0871089696884,Mountain Fynbos,662.669128,South Africa,Western Cape,Cederberg,A. Ndaba,Pitfall trap
