ID,site,replicate,trap,year,label,anthia_decemguttata,stenocara_dentata,morphospecies_6
3,1,1,3,2023,1.1.3,0,0,1
4,1,1,4,2023,1.1.4,0,0,2
9,1,1,9,2023,1.1.9,0,0,1
10,1,1,10,2023,1.1.10,0,0,1
12,1,2,2,2023,1.2.2,0,0,2
15,1,2,5,2023,1.2.5,0,0,1
20,1,2,10,2023,1.2.10,0,0,4
22,1,3,2,2023,1.3.2,0,1,0
27,1,3,7,2023,1.3.7,0,0,1
46,2,1,6,2023,2.1.6,0,0,1
52,2,2,2,2023,2.2.2,0,0,1
53,2,2,3,2023,2.2.3,0,0,1
54,2,2,4,2023,2.2.4,0,0,2
56,2,2,6,2023,2.2.6,0,0,3
58,2,2,8,2023,2.2.8,0,0,1
59,2,2,9,2023,2.2.9,0,0,3
64,2,3,4,2023,2.3.4,0,0,1
65,2,3,5,2023,2.3.5,0,0,1
75,2,4,5,2023,2.4.5,0,0,2
77,2,4,7,2023,2.4.7,0,0,1
80,2,4,10,2023,2.4.10,0,0,2
81,3,1,1,2023,3.1.1,5,1,3
82,3,1,2,2023,3.1.2,0,1,2
84,3,1,4,2023,3.1.4,2,0,0
85,3,1,5,2023,3.1.5,2,0,2
86,3,1,6,2023,3.1.6,3,0,1
88,3,1,8,2023,3.1.8,2,0,0
89,3,1,9,2023,3.1.9,0,1,2
90,3,1,10,2023,3.1.10,0,0,1
93,3,2,3,2023,3.2.3,0,4,0
94,3,2,4,2023,3.2.4,0,0,1
95,3,2,5,2023,3.2.5,0,1,0
100,3,2,10,2023,3.2.10,0,1,0
101,3,3,1,2023,3.3.1,0,0,2
102,3,3,2,2023,3.3.2,0,0,1
103,3,3,3,2023,3.3.3,0,0,3
104,3,3,4,2023,3.3.4,0,1,0
105,3,3,5,2023,3.3.5,0,0,2
108,3,3,8,2023,3.3.8,0,0,1
109,3,3,9,2023,3.3.9,1,0,0
111,3,4,1,2023,3.4.1,0,0,2
113,3,4,3,2023,3.4.3,0,0,2
115,3,4,5,2023,3.4.5,0,0,1
116,3,4,6,2023,3.4.6,0,1,0
117,3,4,7,2023,3.4.7,0,0,1
118,3,4,8,2023,3.4.8,0,0,1
121,4,1,1,2023,4.1.1,0,0,1
123,4,1,3,2023,4.1.3,0,0,1
130,4,1,10,2023,4.1.10,0,0,1
132,4,2,2,2023,4.2.2,0,0,1
133,4,2,3,2023,4.2.3,0,0,2
134,4,2,4,2023,4.2.4,0,0,1
135,4,2,5,2023,4.2.5,0,0,1
136,4,2,6,2023,4.2.6,0,0,1
142,4,3,2,2023,4.3.2,0,0,2
144,4,3,4,2023,4.3.4,1,0,1
146,4,3,6,2023,4.3.6,0,0,2
150,4,3,10,2023,4.3.10,1,0,3
153,4,4,3,2023,4.4.3,0,0,1
160,4,4,10,2023,4.4.10,1,0,0
161,5,1,1,2023,5.1.1,0,0,1
163,5,1,3,2023,5.1.3,1,0,0
164,5,1,4,2023,5.1.4,0,0,1
165,5,1,5,2023,5.1.5,2,0,4
166,5,1,6,2023,5.1.6,0,0,3
167,5,1,7,2023,5.1.7,0,0,1
173,5,2,3,2023,5.2.3,0,0,3
174,5,2,4,2023,5.2.4,0,0,1
175,5,2,5,2023,5.2.5,0,0,1
177,5,2,7,2023,5.2.7,0,0,1
178,5,2,8,2023,5.2.8,0,0,2
192,5,4,2,2023,5.4.2,0,0,1
193,5,4,3,2023,5.4.3,0,0,2
198,5,4,8,2023,5.4.8,0,0,1
200,5,4,10,2023,5.4.10,0,0,1
201,6,1,1,2023,6.1.1,1,0,0
202,6,1,2,2023,6.1.2,0,0,1
203,6,1,3,2023,6.1.3,0,0,1
205,6,1,5,2023,6.1.5,1,0,0
208,6,1,8,2023,6.1.8,3,0,0
210,6,1,10,2023,6.1.10,0,0,1
211,6,2,1,2023,6.2.1,0,0,1
220,6,2,10,2023,6.2.10,0,0,2
