"s.0_W","s.1100_E","s.1100_W","s.1300_E","s.1300_W","s.1500_E","s.1500_W","s.1700_E","s.1700_W","s.1900_W","s.200_W","s.300_W","s.500_E","s.500_W","s.700_W","s.900_E","s.900_W","index","stat","p.value","Species","Year"
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0.866025403784439,0.001,"Horatoma.sp.1","2022"
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0.866025403784439,0.001,"Broomium.sp..1","2022"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.866025403784439,0.003,"Scarites.rugosus","2022"
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.859726953621095,0.001,"Gonogenia.sp..1","2022"
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0.840168050416806,0.005,"Cicindela.sp.1","2022"
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.752046388523875,0.002,"Cryptochile.sp.1","2022"
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0.75,0.002,"Moluris.globulicollis","2022"
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.75,0.003,"Harpalus.sp..2","2022"
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0.707106781186548,0.038,"Cryptochile.assimilis","2022"
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0.707106781186548,0.05,"X.Pachynotelus.sp.1","2022"
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0.707106781186548,0.043,"Ocnodes.sp.2","2022"
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0.707106781186548,0.049,"Hystrichopus.sp..1","2022"
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0.602780267964161,0.001,"stenocara_dentata","2022"
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0.597614304667197,0.041,"Somaticus.sp..4","2022"
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0.577350269189626,0.041,"Cryptochile.setipennis","2022"
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.553419427496566,0.002,"anthia_decemguttata","2022"
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.529212526172916,0.001,"zophosis_gracilicornis","2022"
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0.707106781186548,0.048,"stenocara_dentata","2023"
