"Species","ElevSlope_2002_2003","Stat_2002_2003","ElevSlope_2022_2023","Stat_2022_2023","Status"
"Horatoma.sp.1","200_W",0.866025403784439,NA,NA,"Lost indicator (2022 only)"
"Broomium.sp..1","300_W",0.866025403784439,NA,NA,"Lost indicator (2022 only)"
"Scarites.rugosus","0_W",0.866025403784439,NA,NA,"Lost indicator (2022 only)"
"Gonogenia.sp..1","1100_W",0.859726953621095,NA,NA,"Lost indicator (2022 only)"
"Cicindela.sp.1","1900_W",0.840168050416806,NA,NA,"Lost indicator (2022 only)"
"Cryptochile.sp.1","1100_W",0.752046388523875,NA,NA,"Lost indicator (2022 only)"
"Moluris.globulicollis","1700_W",0.75,NA,NA,"Lost indicator (2022 only)"
"Harpalus.sp..2","1300_E",0.75,NA,NA,"Lost indicator (2022 only)"
"Cryptochile.assimilis","200_W",0.707106781186548,NA,NA,"Lost indicator (2022 only)"
"Ocnodes.sp.2","200_W",0.707106781186548,NA,NA,"Lost indicator (2022 only)"
"Hystrichopus.sp..1","1900_W",0.707106781186548,NA,NA,"Lost indicator (2022 only)"
"stenocara_dentata","1700_E",0.602780267964161,"500_E",0.707106781186548,"Shifted indicator (changed elevation)"
"Somaticus.sp..4","300_W",0.597614304667197,NA,NA,"Lost indicator (2022 only)"
"Cryptochile.setipennis","300_W",0.577350269189626,NA,NA,"Lost indicator (2022 only)"
"anthia_decemguttata","1100_W",0.553419427496566,NA,NA,"Lost indicator (2022 only)"
"zophosis_gracilicornis","1100_W",0.529212526172916,NA,NA,"Lost indicator (2022 only)"
