"species","shift_max_E","shift_max_W","shift_min_E","shift_min_W","max_E_dir","max_W_dir","min_E_dir","min_W_dir"
"anthia_decemguttata",-600,0,200,1200,"Downslope","No change","Upslope","Upslope"
"stenocara_dentata",-1200,NA,0,NA,"Downslope",NA,"No change",NA
"zophosis_gracilicornis",-800,-600,0,200,"Downslope","Downslope","No change","Upslope"
"Hypomelus.sp.1",NA,NA,NA,NA,NA,NA,NA,NA
"Stenocara.sp.1",NA,NA,NA,NA,NA,NA,NA,NA
"Oncotus.cedrimontis",NA,NA,NA,NA,NA,NA,NA,NA
"Cryptochile.sp.1",NA,-200,NA,700,NA,"Downslope",NA,"Upslope"
"Cryptochile.assimilis",NA,NA,NA,NA,NA,NA,NA,NA
"Horatoma.sp.1",NA,NA,NA,NA,NA,NA,NA,NA
"Cryptochile.setipennis",NA,NA,NA,NA,NA,NA,NA,NA
"Cryptochile.sp.2",NA,NA,NA,NA,NA,NA,NA,NA
"X.Pachynotelus.sp.1",NA,NA,NA,NA,NA,NA,NA,NA
"Pachynotelus.sp.2",NA,NA,NA,NA,NA,NA,NA,NA
"Moluris.globulicollis",NA,NA,NA,NA,NA,NA,NA,NA
"Mariazofia.sp.1",NA,NA,NA,NA,NA,NA,NA,NA
"Ocnodes.sp.1",NA,NA,NA,NA,NA,NA,NA,NA
"Ocnodes.sp.2",NA,NA,NA,NA,NA,NA,NA,NA
"Ocnodes.sp.3",NA,NA,NA,NA,NA,NA,NA,NA
"Ocnodes.sp.4",NA,NA,NA,NA,NA,NA,NA,NA
"Ocnodes.sp.5",NA,NA,NA,NA,NA,NA,NA,NA
"Psammodes.longicornis",NA,NA,NA,NA,NA,NA,NA,NA
"Somaticus.sp.1",NA,NA,NA,NA,NA,NA,NA,NA
"Somaticus.sp.2",NA,NA,NA,NA,NA,NA,NA,NA
"Somaticus.sp.3",NA,NA,NA,NA,NA,NA,NA,NA
"Physadesmia.sp..1",NA,NA,NA,NA,NA,NA,NA,NA
"Oxura.sp..1",NA,NA,NA,NA,NA,NA,NA,NA
"Somaticus.sp..4",NA,NA,NA,NA,NA,NA,NA,NA
"Somaticus.sp..5",NA,NA,NA,NA,NA,NA,NA,NA
"Hypomelus.sp..2",NA,NA,NA,NA,NA,NA,NA,NA
"Ocnodes.sp..6",NA,NA,NA,NA,NA,NA,NA,NA
"Broomium.sp..1",NA,NA,NA,NA,NA,NA,NA,NA
"Broomium.sp..2",NA,NA,NA,NA,NA,NA,NA,NA
"Herpiscius.spinolae",NA,NA,NA,NA,NA,NA,NA,NA
"Planostibes.sp..1",NA,NA,NA,NA,NA,NA,NA,NA
"Blenosia.sp..1",NA,NA,NA,NA,NA,NA,NA,NA
"Harpalus.sp..1",NA,NA,NA,NA,NA,NA,NA,NA
"Harpalus.sp..2",NA,NA,NA,NA,NA,NA,NA,NA
"Hystrichopus.sp..1",NA,NA,NA,NA,NA,NA,NA,NA
"Gonogenia.sp..1",NA,0,NA,200,NA,"No change",NA,"Upslope"
"Scarites.rugosus",NA,NA,NA,NA,NA,NA,NA,NA
"cicindela_lurida",NA,NA,NA,NA,NA,NA,NA,NA
"Cicindela.sp.1",NA,NA,NA,NA,NA,NA,NA,NA
