site,replicate,year,anthia_decemguttata,stenocara_dentata,zophosis_gracilicornis,cicindela_lurida
1,1,2002,0,0,0,0
1,2,2002,0,0,1,0
1,3,2002,0,0,0,0
1,4,2002,0,0,0,0
2,1,2002,4,0,1,0
2,2,2002,0,0,2,0
2,3,2002,2,0,1,0
2,4,2002,0,0,1,0
3,1,2002,2,0,6,0
3,2,2002,0,0,6,0
3,3,2002,0,0,3,0
3,4,2002,0,0,4,0
4,1,2002,0,0,10,0
4,2,2002,0,0,11,0
4,3,2002,0,0,11,0
4,4,2002,0,0,1,0
5,1,2002,2,0,9,0
5,2,2002,2,0,16,0
5,3,2002,0,0,7,0
5,4,2002,0,0,4,0
6,1,2002,2,0,9,1
6,2,2002,4,0,47,0
6,3,2002,2,0,16,0
6,4,2002,3,0,26,0
7,1,2002,2,0,58,0
7,2,2002,3,8,74,0
7,3,2002,1,3,40,0
7,4,2002,21,3,37,0
8,1,2002,4,0,10,0
8,2,2002,15,3,14,0
8,3,2002,21,8,52,0
8,4,2002,15,3,34,0
9,1,2002,21,4,44,0
9,2,2002,28,5,12,0
9,3,2002,25,11,56,0
9,4,2002,40,27,73,0
10,1,2002,0,2,11,0
10,2,2002,0,10,28,0
10,3,2002,0,2,75,0
10,4,2002,0,1,33,0
11,1,2002,0,0,0,0
11,2,2002,0,0,0,0
11,3,2002,0,0,0,0
11,4,2002,0,0,0,0
12,1,2002,0,24,8,0
12,2,2002,0,9,31,0
12,3,2002,1,29,13,0
12,4,2002,0,27,10,0
13,1,2002,1,1,25,2
13,2,2002,0,5,49,0
13,3,2002,2,12,8,0
13,4,2002,1,5,11,0
14,1,2002,0,0,0,4
14,2,2002,0,0,0,9
14,3,2002,0,0,0,3
14,4,2002,0,0,0,18
15,1,2002,1,0,10,0
15,2,2002,0,0,4,0
15,3,2002,0,0,3,0
15,4,2002,0,0,3,5
16,1,2002,0,0,12,0
16,2,2002,0,0,25,0
16,3,2002,0,0,4,0
16,4,2002,0,0,13,0
17,1,2002,0,1,3,0
17,2,2002,0,0,7,0
17,3,2002,0,0,2,0
17,4,2002,0,0,0,0
1,1,2003,0,0,1,0
1,2,2003,0,0,1,0
1,3,2003,0,0,0,0
1,4,2003,0,0,0,0
2,1,2003,3,0,4,0
2,2,2003,0,0,7,0
2,3,2003,0,0,3,0
2,4,2003,0,0,17,0
3,1,2003,0,0,15,0
3,2,2003,0,0,11,0
3,3,2003,0,0,12,0
3,4,2003,0,0,4,0
4,1,2003,0,0,8,0
4,2,2003,0,0,11,0
4,3,2003,0,0,18,0
4,4,2003,2,0,0,0
5,1,2003,5,0,11,0
5,2,2003,1,0,7,0
5,3,2003,0,0,3,0
5,4,2003,3,0,5,0
6,1,2003,6,0,4,0
6,2,2003,9,0,29,0
6,3,2003,11,0,30,0
6,4,2003,13,0,45,0
