Sampling_event;Elevation_Vegetation type;Acropyga arnoldi;Aenictus rotundatus;Aenictus sp.1;Anochetus levaillanti;Anoplolepis custodiens;Anoplolepis steingroeveri;Bothroponera cavernosa;Bothroponera pumicosa;Camponotus angusticeps;Camponotus baynei;Camponotus emarginatus;Camponotus fulvopilosus;Camponotus irredux;Camponotus mystaceus;Camponotus niveosetosus;Camponotus simulans;Camponotus sp.1;Camponotus sp.10;Camponotus sp.11;Camponotus sp.12;Camponotus sp.13;Camponotus sp.14;Camponotus sp.16;Camponotus sp.2;Camponotus sp.28;Camponotus sp.3;Camponotus sp.4;Camponotus sp.5;Camponotus sp.6;Camponotus sp.7;Camponotus sp.8;Camponotus sp.maculatus group;Camponotus vestitus;Cardiocondyla shuckardi;Cerapachys wroughtoni;Crematogaster melanogaster;Crematogaster peringueyi;Crematogaster sp.1;Crematogaster sp.2;Crematogaster sp.3;Crematogaster sp.4;Crematogaster sp.5;Crematogaster sp.7;Dorylus helvolus;Hypoponera sp.1;Lepisiota sp.4;Lepisiota sp.5;Lepisiota sp.6;Lepisiota sp.7;Lepisiota sp.capensis;Lepisiota sp.spinonsior;Leptogenys peringueyi;Leptothorax sp.1;Leptothorax sp.2;Leptothorax sp.3;Leptothorax sp.4;Leptothorax sp.6;Meranoplus peringueyi;Messor capensis;Messor decipiens;Messor sp.1;Monomorium esharre;Monomorium excelsior;Monomorium fridae;Monomorium havilandi;Monomorium macrops;Monomorium sp.1;Monomorium sp.10;Monomorium sp.2;Monomorium sp.3;Monomorium sp.5;Monomorium sp.6;Monomorium sp.7;Monomorium sp.8;Monomorium sp.9;Monomorium speculiceps;Monomorium willowmorense;Monomorium xanthognathum;Myrmicaria nigra;Nesomyrmex antoinettea;Nesomyrmex cederbergensis;Nesomyrmex ezantsi;Nesomyrmex karooensis;Nesomyrmex ruani;Nesomyrmex sp. njengelanga;Ocymyrmex barbiger;Pheidole sp.4;Plagiolepis sp.1;Plagiolepis sp.2;Solenopsis punctaticeps;Strumigenys sp.1;Tapinolepis sp.1;Tapinoma sp.1;Technomyrmex pallipes;Technomyrmex sp.1;Tetramorium capensis;Tetramorium dichroum;Tetramorium erectum;Tetramorium frigidum;Tetramorium jordani;Tetramorium sericeiventre;Tetramorium solidum;Tetramorium sp.10;Tetramorium sp.12;Tetramorium sp.1C;Tetramorium sp.2;Tetramorium sp.20;Tetramorium sp.22;Tetramorium sp.3;Tetramorium sp.4;Tetramorium sp.7;Tetramorium sp.8;Tetramorium sp.9;Tetramorium squaminode
2002-2003;0 m a.s.l. W (Strandveld);0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;17;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;155;62;1;0;0;0;0;0;0;0;0;0;108;0;0;3;0;0;0;0;0;0;0;0;0;0;5824;0;0;0;0;0;0;0;1;0;0;0;0;0;0;114;0;0;0;0;0;0;136;0;0;0;14;0;0;0;29;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2002-2003;200 m a.s.l. W (Restioid);0;0;3;0;80;1446;12;0;14;0;0;18;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;179;0;0;0;0;0;0;0;0;2;0;0;0;0;5614;0;197;0;0;60;0;0;73;106;1;0;6;0;0;0;0;0;0;0;0;0;488;506;0;0;9;0;0;0;0;0;0;0;0;0;0;25;8;0;0;0;0;0;0;0;0;25;0;2;0
2002-2003;300 m a.s.l. W (Proteoid);0;1;0;1;37;13;15;0;0;0;0;71;0;21;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;1;68;0;0;0;0;0;0;0;1;0;0;0;0;0;70;0;0;0;5;3;0;0;0;0;0;2;0;0;8850;0;6;0;0;78;0;7;0;65;0;0;0;0;27;0;0;0;0;0;0;0;651;65;0;0;2;0;0;0;0;46;0;0;0;0;0;316;0;201;0;0;5;0;0;0;0;59;0;0;0
2002-2003;500 m a.s.l. W (Proteoid);0;1;0;0;5;369;0;0;9;0;3;35;0;17;4;0;0;0;0;0;0;0;0;0;0;0;0;8;0;3;0;4;0;18;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;160;35;0;1;13;3;0;0;0;0;0;3;0;0;7206;0;1;0;0;142;0;0;0;108;0;0;0;0;0;0;0;0;0;0;0;0;244;839;0;0;14;0;0;0;0;3;0;0;0;16;0;123;0;0;0;0;12;0;0;3;0;3;0;0;0
2002-2003;700 m a.s.l. W (Proteoid);0;0;0;0;0;2441;0;0;28;0;0;6;0;76;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;4;0;1;8;53;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;39;0;0;0;23;0;0;1;0;0;0;0;0;0;8505;0;3;4;0;29;0;1;0;89;0;0;0;0;0;0;0;0;0;0;0;0;135;475;0;0;0;0;0;0;9;5;0;0;0;3;0;93;0;0;0;0;58;0;0;17;0;0;3;0;0
2002-2003;900 m a.s.l. W (Restioid);0;0;0;0;205;124;0;0;7;0;0;0;0;35;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;14;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;84;0;219;0;0;0;0;0;0;0;0;0;0;0;0;0;496;0;0;0;0;0;0;0;0;79;0;0;0;0;13;0;0;0;0;0;0;0;117;159;0;10;0;0;0;3;0;0;0;1;1;7;0;91;0;8;0;0;4;0;0;22;0;0;0;0;0
2002-2003;1100 m a.s.l. W (Ericaceous);0;0;0;0;899;0;0;0;29;0;0;0;0;9;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;8;2;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;2;156;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0;0;253;118;0;88;2;0;0;0;0;0;0;0;2;2;0;120;40;0;0;0;0;0;0;1;0;0;0;0;0
2002-2003;1300 m a.s.l. W (Ericaceous);0;0;0;0;87;0;0;0;53;0;6;0;1;0;9;0;5;0;0;0;0;0;2;0;0;0;6;0;3;0;0;0;16;7;1;0;0;20;0;0;0;0;0;0;0;9;0;0;0;30;1;0;0;0;0;0;0;0;0;0;1;0;0;2057;159;0;0;0;0;0;0;0;89;0;0;0;0;6;0;0;0;0;0;0;0;179;0;0;57;0;0;0;5;2;1;0;0;0;2;0;21;0;0;0;0;0;0;0;19;1;0;0;0;0
2002-2003;1500 m a.s.l. W (Ericaceous);0;0;0;0;148;0;3;4;0;0;0;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;7;0;0;10;0;0;0;0;0;162;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;1764;0;0;0;0;0;0;0;0;34;0;0;50;0;0;0;0;0;0;0;0;0;28;36;0;92;0;1;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;21;5;8;0;0;0
2002-2003;1700 m a.s.l. W (Ericaceous);0;0;0;0;844;0;0;4;0;0;1;0;0;0;2;0;3;0;0;0;0;0;0;20;0;0;0;0;10;0;0;43;0;0;0;0;0;11;0;13;0;0;0;0;0;0;0;0;0;52;0;0;0;0;0;26;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;71;0;0;24;0;0;0;0;0;0;0;0;0;71;30;0;4;16;0;0;9;0;0;0;0;0;4;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0
