Date;Season;Sampling_event;Vegetation_type;Elevation;Acropyga arnoldi;Aenictus rotundatus;Aenictus sp.1;Anochetus levaillanti;Anoplolepis custodiens;Anoplolepis steingroeveri;Bothroponera cavernosa;Bothroponera pumicosa;Camponotus angusticeps;Camponotus baynei;Camponotus emarginatus;Camponotus fulvopilosus;Camponotus irredux;Camponotus mystaceus;Camponotus niveosetosus;Camponotus simulans;Camponotus sp.1;Camponotus sp.10;Camponotus sp.11;Camponotus sp.12;Camponotus sp.13;Camponotus sp.14;Camponotus sp.16;Camponotus sp.2;Camponotus sp.28;Camponotus sp.3;Camponotus sp.4;Camponotus sp.5;Camponotus sp.6;Camponotus sp.7;Camponotus sp.8;Camponotus sp.maculatus group;Camponotus vestitus;Cardiocondyla shuckardi;Cerapachys wroughtoni;Crematogaster melanogaster;Crematogaster peringueyi;Crematogaster sp.1;Crematogaster sp.2;Crematogaster sp.3;Crematogaster sp.4;Crematogaster sp.5;Crematogaster sp.7;Dorylus helvolus;Hypoponera sp.1;Lepisiota sp.4;Lepisiota sp.5;Lepisiota sp.6;Lepisiota sp.7;Lepisiota sp.capensis;Lepisiota sp.spinonsior;Leptogenys peringueyi;Leptothorax sp.1;Leptothorax sp.2;Leptothorax sp.3;Leptothorax sp.4;Leptothorax sp.6;Meranoplus peringueyi;Messor capensis;Messor decipiens;Messor sp.1;Monomorium esharre;Monomorium excelsior;Monomorium fridae;Monomorium havilandi;Monomorium macrops;Monomorium sp.1;Monomorium sp.10;Monomorium sp.2;Monomorium sp.3;Monomorium sp.5;Monomorium sp.6;Monomorium sp.7;Monomorium sp.8;Monomorium sp.9;Monomorium speculiceps;Monomorium willowmorense;Monomorium xanthognathum;Myrmicaria nigra;Nesomyrmex antoinettea;Nesomyrmex cederbergensis;Nesomyrmex ezantsi;Nesomyrmex karooensis;Nesomyrmex ruani;Nesomyrmex sp. njengelanga;Ocymyrmex barbiger;Pheidole sp.4;Plagiolepis sp.1;Plagiolepis sp.2;Solenopsis punctaticeps;Strumigenys sp.1;Tapinolepis sp.1;Tapinoma sp.1;Technomyrmex pallipes;Technomyrmex sp.1;Tetramorium capensis;Tetramorium dichroum;Tetramorium erectum;Tetramorium frigidum;Tetramorium jordani;Tetramorium sericeiventre;Tetramorium solidum;Tetramorium sp.10;Tetramorium sp.12;Tetramorium sp.1C;Tetramorium sp.2;Tetramorium sp.20;Tetramorium sp.22;Tetramorium sp.3;Tetramorium sp.4;Tetramorium sp.7;Tetramorium sp.8;Tetramorium sp.9;Tetramorium squaminode
Mar_2003;March;2002-2003;Strandveld;0 m a.s.l. W;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;17;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;47;0;0;1;0;0;0;0;0;0;0;0;0;0;3502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;82;0;0;0;4;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mar_2023;March;2022-2023;Strandveld;0 m a.s.l. W;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;3;0;0;0;325;0;0;0;0;0;0;0;0;0;0;0;3;59;532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;4;0;0;0;9;0;0;0;2;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oct_2002;October;2002-2003;Strandveld;0 m a.s.l. W;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;155;8;1;0;0;0;0;0;0;0;0;0;61;0;0;2;0;0;0;0;0;0;0;0;0;0;2322;0;0;0;0;0;0;0;1;0;0;0;0;0;0;49;0;0;0;0;0;0;54;0;0;0;10;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Oct_2022;October;2022-2023;Strandveld;0 m a.s.l. W;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;4;0;4;0;0;2;0;0;0;166;0;0;0;0;0;0;0;0;0;0;0;2;0;412;1;0;0;0;0;0;0;0;0;0;0;0;16;0;93;0;0;0;0;0;0;5;0;0;0;4;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mar_2003;March;2002-2003;Restioid;200 m a.s.l. W;0;0;0;0;58;480;12;0;5;0;0;7;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;154;0;0;0;0;0;0;0;0;2;0;0;0;0;2140;0;0;0;0;18;0;0;0;47;0;0;6;0;0;0;0;0;0;0;0;0;345;237;0;0;2;0;0;0;0;0;0;0;0;0;0;24;2;0;0;0;0;0;0;0;0;5;0;0;0
Mar_2023;March;2022-2023;Restioid;200 m a.s.l. W;0;0;0;0;0;0;0;0;1;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;4551;0;0;0;0;0;0;0;0;24;0;0;0;2;1;0;0;0;0;0;0;0;17;113;0;0;0;0;16;0;0;0;0;0;1;0;1;5;8;0;0;0;0;0;0;3;0;0;0;0;0
Oct_2002;October;2002-2003;Restioid;200 m a.s.l. W;0;0;3;0;22;966;0;0;9;0;0;11;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;3474;0;197;0;0;42;0;0;73;59;1;0;0;0;0;0;0;0;0;0;0;0;143;269;0;0;7;0;0;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;20;0;2;0
Oct_2022;October;2022-2023;Restioid;200 m a.s.l. W;0;0;0;0;0;0;0;0;2;1;0;3;0;31;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;4386;0;0;0;0;0;0;0;0;112;0;0;0;0;6;0;0;0;0;0;0;0;89;89;0;0;2;0;27;0;0;0;0;0;0;0;5;0;4;2;0;0;0;0;0;6;0;0;0;0;0
Mar_2003;March;2002-2003;Proteoid;300 m a.s.l. W;0;1;0;1;13;0;1;0;0;0;0;19;0;8;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;3;0;0;0;0;0;0;0;0;0;6311;0;4;0;0;44;0;0;0;46;0;0;0;0;5;0;0;0;0;0;0;0;452;41;0;0;0;0;0;0;0;46;0;0;0;0;0;138;0;7;0;0;4;0;0;0;0;38;0;0;0
Mar_2023;March;2022-2023;Proteoid;300 m a.s.l. W;0;0;0;0;0;3872;0;0;0;0;0;15;0;38;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;0;0;0;0;0;0;0;0;6;0;0;6;3382;0;0;0;0;46;0;0;0;22;0;0;0;0;1;0;0;0;0;0;3;0;169;441;0;0;0;0;103;0;0;0;0;0;0;0;76;133;84;0;0;7;0;0;0;3;0;5;0;0;0
