site,longitude,latitude,
1,18.3143,-32.178033,"18.3143,-32.178033"
2,18.53035,-32.276833,"18.53035,-32.276833"
3,18.98785,-32.33995,"18.98785,-32.33995"
4,19.0071,-32.34945,"19.0071,-32.34945"
5,19.08715,-32.396817,"19.08715,-32.396817"
6,19.165967,-32.42435,"19.165967,-32.42435"
7,19.240083,-32.458033,"19.240083,-32.458033"
8,19.217,-32.4349,"19.217,-32.4349"
9,19.145267,-32.359983,"19.145267,-32.359983"
10,19.153367,-32.355267,"19.153367,-32.355267"
11,19.161583,-32.355083,"19.161583,-32.355083"
12,19.1673,-32.3498,"19.1673,-32.3498"
13,19.170217,-32.348133,"19.170217,-32.348133"
14,19.138967,-32.3459,"19.138967,-32.3459"
15,19.140917,-32.332267,"19.140917,-32.332267"
16,19.170583,-32.311,"19.170583,-32.311"
17,19.21935,-32.2779,"19.21935,-32.2779"
