site,replicate,year,ph,rock,clay,sand,silt,P(mg/kg),NO3(mg/kg),C(%) ,cond
1,1,2002,7.98,0,0.25,98.65,1.1,4.75,2.83,0.24,2052.5
1,2,2002,7.98,0,0.25,98.65,1.1,4.75,2.83,0.24,2052.5
1,3,2002,7.98,0,0.25,98.65,1.1,4.75,2.83,0.24,2052.5
1,4,2002,7.98,0,0.25,98.65,1.1,4.75,2.83,0.24,2052.5
2,1,2002,4.1,0,1.1,97.88,1.03,3.5,16.36,0.6,1595
2,2,2002,4.1,0,1.1,97.88,1.03,3.5,16.36,0.6,1595
2,3,2002,4.1,0,1.1,97.88,1.03,3.5,16.36,0.6,1595
2,4,2002,4.1,0,1.1,97.88,1.03,3.5,16.36,0.6,1595
3,1,2002,4.28,5,2.35,95.38,2.28,2.75,6.46,0.73,3165
3,2,2002,4.28,5,2.35,95.38,2.28,2.75,6.46,0.73,3165
3,3,2002,4.28,5,2.35,95.38,2.28,2.75,6.46,0.73,3165
3,4,2002,4.28,5,2.35,95.38,2.28,2.75,6.46,0.73,3165
4,1,2002,4.13,4,2.05,95.63,2.33,3.25,9.2,0.9,2940
4,2,2002,4.13,4,2.05,95.63,2.33,3.25,9.2,0.9,2940
4,3,2002,4.13,4,2.05,95.63,2.33,3.25,9.2,0.9,2940
4,4,2002,4.13,4,2.05,95.63,2.33,3.25,9.2,0.9,2940
5,1,2002,3.73,6.25,2.2,92,5.8,20,7.58,1.66,3165
5,2,2002,3.73,6.25,2.2,92,5.8,20,7.58,1.66,3165
5,3,2002,3.73,6.25,2.2,92,5.8,20,7.58,1.66,3165
5,4,2002,3.73,6.25,2.2,92,5.8,20,7.58,1.66,3165
6,1,2002,3.68,5,1.93,93.33,4.75,9.75,8.2,1.44,3170
6,2,2002,3.68,5,1.93,93.33,4.75,9.75,8.2,1.44,3170
6,3,2002,3.68,5,1.93,93.33,4.75,9.75,8.2,1.44,3170
6,4,2002,3.68,5,1.93,93.33,4.75,9.75,8.2,1.44,3170
7,1,2002,4.5,14.5,1.7,92.4,5.9,24.75,13.91,1.51,1847.5
7,2,2002,4.5,14.5,1.7,92.4,5.9,24.75,13.91,1.51,1847.5
7,3,2002,4.5,14.5,1.7,92.4,5.9,24.75,13.91,1.51,1847.5
7,4,2002,4.5,14.5,1.7,92.4,5.9,24.75,13.91,1.51,1847.5
8,1,2002,4.28,6.5,4.05,85.28,7.95,4.5,17.48,1.29,1600
8,2,2002,4.28,6.5,4.05,85.28,7.95,4.5,17.48,1.29,1600
8,3,2002,4.28,6.5,4.05,85.28,7.95,4.5,17.48,1.29,1600
8,4,2002,4.28,6.5,4.05,85.28,7.95,4.5,17.48,1.29,1600
9,1,2002,3.53,10.5,3.5,86.9,7.68,13.5,31.21,2.92,1602.5
9,2,2002,3.53,10.5,3.5,86.9,7.68,13.5,31.21,2.92,1602.5
9,3,2002,3.53,10.5,3.5,86.9,7.68,13.5,31.21,2.92,1602.5
9,4,2002,3.53,10.5,3.5,86.9,7.68,13.5,31.21,2.92,1602.5
10,1,2002,3.35,5.25,3.25,90.13,5.2,8,22.1,2.11,1530
10,2,2002,3.35,5.25,3.25,90.13,5.2,8,22.1,2.11,1530
10,3,2002,3.35,5.25,3.25,90.13,5.2,8,22.1,2.11,1530
10,4,2002,3.35,5.25,3.25,90.13,5.2,8,22.1,2.11,1530
11,1,2002,2.95,1.25,1.8,93.38,4.73,7.5,26.47,1.13,1190
11,2,2002,2.95,1.25,1.8,93.38,4.73,7.5,26.47,1.13,1190
11,3,2002,2.95,1.25,1.8,93.38,4.73,7.5,26.47,1.13,1190
11,4,2002,2.95,1.25,1.8,93.38,4.73,7.5,26.47,1.13,1190
12,1,2002,3.3,14.25,2.58,93.08,5.28,10.25,0.23,1.56,6847.5
12,2,2002,3.3,14.25,2.58,93.08,5.28,10.25,0.23,1.56,6847.5
12,3,2002,3.3,14.25,2.58,93.08,5.28,10.25,0.23,1.56,6847.5
12,4,2002,3.3,14.25,2.58,93.08,5.28,10.25,0.23,1.56,6847.5
13,1,2002,3.18,5.25,1.83,91.2,5.83,9,9.89,1.94,3270
