Block No.,Lab No.,"pH
KCl","Resist. *
(ohm)","H+
cmol/Kg","P
(Bray ll)
mg/kg","K
mg/kg",Na,K_cation,Ca,Mg,"C
%","S
Am.acet
*
mg/kg","EC *
mS/m","NO3 *
mg/kg"
Site 1.1,SL23-13654,8,1270,0,51.7,15.2,0.27,0.04,3.1,0.5,0.26,8,18.37,0.54
Site 1.2,SL23-13655,6.6,1790,0,59,12.5,0.14,0.03,2.4,0.46,0.32,5,14.4,1.4
Site 1.3,SL23-13656,8.1,1310,0,53.9,18.7,0.21,0.05,3.9,0.59,0.33,7.4,12.27,1.7
Site 1.4,SL23-13657,8.2,1600,0,60.7,15.9,0.16,0.04,4.1,0.74,0.39,6.8,12.07,2.3
Site 2.1,SL23-13658,4.1,7680,0.57,2.8,19,0.03,0.05,0.46,0.21,0.53,<3.4,2.7,0.76
Site 2.2,SL23-13659,4.4,4160,0.38,5,16.3,0.03,0.04,0.62,0.24,0.42,<3.4,4.95,3.9
Site 2.3,SL23-13660,4.2,4660,0.54,<2.2,21.6,0.04,0.06,0.62,0.23,0.57,<3.4,3.65,2.3
Site 2.4,SL23-13661,4,7160,0.6,<2.2,18.2,0.04,0.05,0.57,0.22,0.42,<3.4,2.63,1.6
Site 3.1,SL23-13662,5.1,2420,0.47,9.9,36.2,0.06,0.09,1.2,0.57,0.79,<3.4,8.29,10.4
Site 3.2,SL23-13663,4.3,3790,0.92,5.2,45.4,0.09,0.12,1.2,0.5,1.03,<3.4,6.12,2.1
Site 3.3,SL23-13664,5.7,4620,0.33,8,31.5,0.04,0.08,1.1,0.45,0.52,<3.4,5.38,5.2
Site 3.4,SL23-13665,4.8,11060,0.39,3.3,19.1,0.04,0.05,0.87,0.25,0.42,<3.4,2.35,0.91
Site 4.1,SL23-13666,4.3,5020,0.64,4.1,43.6,0.07,0.11,0.9,0.47,0.83,<3.4,4.82,2.3
Site 4.2,SL23-13667,4.8,5500,0.66,5.2,41.2,0.07,0.1,1.5,0.6,0.84,<3.4,3.83,2.2
Site 4.3,SL23-13668,4.4,13210,0.62,6.2,21.3,0.03,0.05,0.24,0.14,0.51,<3.4,2.04,0.81
Site 4.4,SL23-13669,4.3,10790,0.99,4.7,52.4,0.04,0.13,0.33,0.23,0.78,7.3,2.96,0.8
Site 5.1,SL23-13670,4.1,7590,1.92,24.9,58.1,0.05,0.15,1.3,0.85,1.79,3.6,3.35,1.5
Site 5.2,SL23-13671,3.7,5460,2.23,9.8,48.8,0.06,0.12,0.82,0.48,1.58,4.2,4.28,2.2
Site 5.3,SL23-13672,4.4,5670,0.63,3.2,26.8,0.05,0.07,0.6,0.38,0.62,<3.4,3.95,1.5
Site 5.4,SL23-13673,4.1,6090,0.99,6,24.6,0.06,0.06,0.83,0.39,1.12,<3.4,4.87,1.1
Site 6.1,SL23-13674,4.5,18610,0.59,10.4,15,0.03,0.04,0.2,0.1,0.26,5.8,15.92,0.6
Site 6.2,SL23-13675,3.8,8710,1.48,6.1,26.6,0.06,0.07,0.58,0.29,0.95,<3.4,2.97,<0.36
Site 6.3,SL23-13676,3.9,10580,1.46,6.9,29.5,0.05,0.08,0.48,0.22,1.06,4.1,2.84,0.77
Site 6.4,SL23-13677,3.9,12610,1.2,6,29.5,0.04,0.08,0.36,0.16,0.98,<3.4,2.22,0.64
Site 7.1,SL23-13678,4.7,7020,0.71,4.8,101,0.08,0.26,1.8,0.66,0.99,<3.4,2.75,1.3
Site 7.2,SL23-13679,5,5750,0.75,5.1,97.4,0.09,0.25,2.2,0.7,1.13,<3.4,4.9,1.1
Site 7.3,SL23-13680,4.8,7580,0.76,4.4,96.9,0.1,0.25,1.5,0.59,1.02,<3.4,3.22,0.76
Site 7.4,SL23-13681,4.6,7780,0.6,3.3,54.2,0.07,0.14,0.81,0.34,0.67,<3.4,3.79,0.91
Site 8.1,SL23-13682,5,3220,0.6,3,116,0.3,0.3,2,2,1.26,6.8,6.72,<0.36
Site 8.2,SL23-13683,4.6,5300,0.88,3.6,143,0.12,0.37,0.99,0.79,0.9,4.4,4.61,0.85
Site 8.3,SL23-13684,4.2,6050,1.56,4.6,118,0.13,0.3,1.1,0.84,1.65,<3.4,4.74,1.4
Site 8.4,SL23-13685,4.2,8650,1.23,4,93,0.11,0.24,0.92,0.52,0.92,<3.4,3.16,0.61
Site 9.1,SL23-13686,3.9,4860,2.56,9.7,143,0.1,0.36,0.75,0.43,2.2,9,7.91,2.2
Site 9.2,SL23-13687,3.9,5220,3.21,12,105,0.08,0.27,0.96,0.36,2.26,7.8,7.12,3.2
Site 9.3,SL23-13688,3.7,6700,2.59,14.2,71.8,0.04,0.18,0.88,0.24,1.94,4.4,4.87,2.1
Site 9.4,SL23-13689,3.9,7820,3.01,6.6,77.7,0.06,0.2,0.38,0.21,2.11,12.1,4.41,1.9
Site 10.1,SL23-13690,3.7,7280,2.63,8.5,64,0.06,0.16,0.93,0.43,1.85,4.3,4.65,2.3
Site 10.2,SL23-13691,3.8,6250,2.42,7.5,86.1,0.05,0.22,0.87,0.42,1.7,4.7,5.01,1.4
Site 10.3,SL23-13692,4,4930,2.22,7.9,85.9,0.05,0.22,1.1,0.59,1.73,4.2,5.71,2.2
Site 10.4,SL23-13693,3.7,7030,2.73,8.3,72.9,0.07,0.19,0.6,0.32,1.62,5.3,5.2,2
Site 11.1,SL23-13694,3.6,3940,1.43,<2.2,12.2,0.06,0.03,0.24,0.17,0.91,6.4,6.06,4.9
Site 11.2,SL23-13695,3.4,2800,1.35,2.6,<11.7,0.05,0.03,0.19,0.15,0.84,5.3,8.91,9
Site 11.3,SL23-13696,3.2,2780,1.83,3.6,19.8,0.06,0.05,0.67,0.21,1.13,8,11.05,6.4
Site 11.4,SL23-13697,3.4,5360,2.12,2.4,20.2,0.06,0.05,0.33,0.22,1.24,7.1,5.31,3
Site 12.1,SL23-13698,3.8,4640,2.02,6.8,57,0.06,0.14,0.46,0.25,1.24,7,6.95,6.4
Site 12.2,SL23-13699,3.9,4210,1.66,6.9,81.6,0.06,0.21,0.56,0.34,1.46,7.4,7.33,6
Site 12.3,SL23-13700,3.8,3510,2.14,4.6,94.4,0.08,0.24,1.1,0.57,1.87,5.8,9.19,7.5
Site 12.4,SL23-13701,3.7,4540,2.14,5.5,101,0.08,0.26,1.1,0.6,1.77,6.4,6.55,5
Site 13.1,SL23-13702,3.6,3610,2.43,3.8,48.2,0.08,0.12,0.54,0.35,1.37,6.7,8.82,7
Site 13.2,SL23-13703,3.7,3400,2.43,3.7,67.8,0.13,0.17,0.47,0.31,1.6,8.4,8.68,7.1
Site 13.3,SL23-13704,3.6,2450,2.63,9.6,84.2,0.06,0.22,0.55,0.28,2.05,9.2,12.12,14.1
Site 13.4,SL23-13705,3.8,3470,2.25,7.7,104,0.07,0.27,0.7,0.4,1.75,8.4,9.78,8.4
Site 14.1,SL23-13706,3.4,3580,4.51,16.5,33.7,0.17,0.09,0.44,0.41,2.31,14.3,11.04,4.4
Site 14.2,SL23-13707,3.5,4660,2.36,4.3,29.1,0.08,0.07,0.41,0.24,1.42,8,5.76,3.5
Site 14.3,SL23-13708,3.7,8530,1.41,<2.2,16.2,0.06,0.04,0.27,0.21,0.84,5.3,3.68,0.36
Site 14.4,SL23-13709,3.3,6140,1.62,4,<11.7,0.05,0.02,0.22,0.13,0.66,5.3,4.16,2
Site 15.1,SL23-13710,3.6,2250,2.12,7.8,21.7,0.1,0.06,0.32,0.21,0.92,9,12.76,10.7
Site 15.2,SL23-13711,3.8,4070,1.65,5.2,30.9,0.08,0.08,0.28,0.19,1.19,11.3,8.85,6.5
Site 15.3,SL23-13712,3.6,5500,1.55,3.8,15.3,0.04,0.04,0.22,0.14,0.81,6.6,5.27,5.6
Site 15.4,SL23-13713,3.9,4750,0.79,2.3,<11.7,0.04,0.03,0.17,0.1,0.49,6.4,5.29,3.5
Site 16.1,SL23-13714,3.8,5250,1.31,5.9,48.7,0.07,0.12,0.62,0.3,1.1,3.6,5.13,1.8
Site 16.2,SL23-13715,3.8,5300,1.41,6.9,57.2,0.08,0.15,0.74,0.29,1.28,3.8,6.04,0.41
Site 16.3,SL23-13716,3.7,4360,1.41,6.2,43.9,0.1,0.11,0.71,0.3,1.24,6,6.82,2.5
Site 16.4,SL23-13717,3.6,7350,1.18,5.6,36.1,0.06,0.09,0.41,0.28,1.02,<3.4,3.99,0.59
Site 17.1,SL23-13718,5.1,1700,0.75,28.9,139,0.12,0.35,2.3,0.78,1.25,6,15.77,10.6
Site 17.2,SL23-13719,3.9,2440,0.93,13.8,91.6,0.09,0.23,0.56,0.44,0.59,6.2,8.49,9.4
Site 17.3,SL23-13720,4.8,2380,0.57,20.2,175,0.09,0.45,1.2,0.64,0.68,3.8,10.08,9.2
Site 17.4,SL23-13721,4.4,1390,0.66,23.6,154,0.11,0.39,0.79,0.57,0.61,7.2,20.7,18.9
