site,replicate,"pH
KCl","Resist. *
(ohm)","H+
cmol/Kg","P
(Bray ll)
mg/kg","K
mg/kg",Na,K_cation,Ca,Mg,"C
%","S
Am.acet
*
mg/kg","EC *
mS/m","NO3 *
mg/kg",clay,silt,sand,rock,Waterholding 10kPa %,Waterholding 100kPa %,Waterholding mm/m,Na% ,K% ,Ca% ,Mg%,T Value (cmol/kg),Acid Sat% 
1,1,8,1270,0,51.7,15.2,0.27,0.04,3.1,0.5,0.26,8,18.37,0.54,4.8,4,91.2,0.6,2.95,2.85,1.01,6.91,1.00,79.28,12.79,3.91,0.00
1,2,6.6,1790,0,59,12.5,0.14,0.03,2.4,0.46,0.32,5,14.4,1.4,2.8,2,95.2,0.6,3.36,1.75,16.11,4.62,1.06,79.21,15.18,3.03,0.00
1,3,8.1,1310,0,53.9,18.7,0.21,0.05,3.9,0.59,0.33,7.4,12.27,1.7,4.8,0,95.2,0.6,3.83,1.81,20.27,4.42,1.01,82.11,12.42,4.75,0.00
1,4,8.2,1600,0,60.7,15.9,0.16,0.04,4.1,0.74,0.39,6.8,12.07,2.3,4.8,0,95.2,0.6,3.26,1.54,17.13,3.17,0.81,81.35,14.68,5.04,0.00
2,1,4.1,7680,0.57,2.8,19,0.03,0.05,0.46,0.21,0.53,1.7,2.7,0.76,4.8,8,87.2,0.7,21.87,10.17,116.96,2.27,3.68,34.75,15.87,1.32,43.34
2,2,4.4,4160,0.38,5,16.3,0.03,0.04,0.62,0.24,0.42,1.7,4.95,3.9,4.8,0,95.2,0.6,21.29,8.33,129.59,2.29,3.18,47.24,18.29,1.31,29.14
2,3,4.2,4660,0.54,1.1,21.6,0.04,0.06,0.62,0.23,0.57,1.7,3.65,2.3,4.8,0,95.2,0.6,21.16,8.23,129.30,2.68,3.70,41.47,15.39,1.49,36.45
2,4,4,7160,0.6,1.1,18.2,0.04,0.05,0.57,0.22,0.42,1.7,2.63,1.6,4.8,0,95.2,0.6,19.34,7.69,116.44,2.70,3.15,38.45,14.84,1.48,40.63
3,1,5.1,2420,0.47,9.9,36.2,0.06,0.09,1.2,0.57,0.79,1.7,8.29,10.4,4.8,10,85.2,6,15.60,9.55,60.45,2.51,3.89,50.24,23.86,2.39,19.61
3,2,4.3,3790,0.92,5.2,45.4,0.09,0.12,1.2,0.5,1.03,1.7,6.12,2.1,8.8,6,85.2,2.5,17.44,9.43,80.11,3.18,4.12,42.44,17.68,2.83,32.46
3,3,5.7,4620,0.33,8,31.5,0.04,0.08,1.1,0.45,0.52,1.7,5.38,5.2,6.8,8,85.2,1.8,17.65,10.23,74.21,2.00,4.03,54.87,22.45,2.00,16.69
3,4,4.8,11060,0.39,3.3,19.1,0.04,0.05,0.87,0.25,0.42,1.7,2.35,0.91,6.8,2,91.2,1.4,15.09,8.15,69.40,2.50,3.06,54.31,15.61,1.60,24.47
4,1,4.3,5020,0.64,4.1,43.6,0.07,0.11,0.9,0.47,0.83,1.7,4.82,2.3,8.8,10,81.2,3.5,20.58,11.44,91.38,3.20,5.10,41.09,21.46,2.19,29.24
4,2,4.8,5500,0.66,5.2,41.2,0.07,0.1,1.5,0.6,0.84,1.7,3.83,2.2,8.8,2,89.2,1.5,17.13,8.38,87.53,2.39,3.61,51.20,20.48,2.93,22.52
4,3,4.4,13210,0.62,6.2,21.3,0.03,0.05,0.24,0.14,0.51,1.7,2.04,0.81,8.8,0,91.2,0.7,15.42,7.17,82.49,2.77,5.05,22.19,12.95,1.08,57.46
4,4,4.3,10790,0.99,4.7,52.4,0.04,0.13,0.33,0.23,0.78,7.3,2.96,0.8,8.8,8,83.2,8,19.08,9.87,92.14,2.32,7.79,19.14,13.34,1.72,57.66
