site,replicate,year,ph,rock,clay,sand,silt,P(mg/kg),NO3(mg/kg),C(%) 
1,1,2022,8,0.6,4.8,91.2,4,51.7,0.54,0.26
1,2,2022,6.6,0.6,2.8,95.2,2,59,1.4,0.32
1,3,2022,8.1,0.6,4.8,95.2,0,53.9,1.7,0.33
1,4,2022,8.2,0.6,4.8,95.2,0,60.7,2.3,0.39
2,1,2022,4.1,0.7,4.8,87.2,8,2.8,0.76,0.53
2,2,2022,4.4,0.6,4.8,95.2,0,5,3.9,0.42
2,3,2022,4.2,0.6,4.8,95.2,0,1.1,2.3,0.57
2,4,2022,4,0.6,4.8,95.2,0,1.1,1.6,0.42
3,1,2022,5.1,6,4.8,85.2,10,9.9,10.4,0.79
3,2,2022,4.3,2.5,8.8,85.2,6,5.2,2.1,1.03
3,3,2022,5.7,1.8,6.8,85.2,8,8,5.2,0.52
3,4,2022,4.8,1.4,6.8,91.2,2,3.3,0.91,0.42
4,1,2022,4.3,3.5,8.8,81.2,10,4.1,2.3,0.83
4,2,2022,4.8,1.5,8.8,89.2,2,5.2,2.2,0.84
4,3,2022,4.4,0.7,8.8,91.2,0,6.2,0.81,0.51
4,4,2022,4.3,8,8.8,83.2,8,4.7,0.8,0.78
5,1,2022,4.1,4.7,6.8,85.2,8,24.9,1.5,1.79
5,2,2022,3.7,3.1,6.8,85.2,8,9.8,2.2,1.58
5,3,2022,4.4,3.6,6.8,91.2,2,3.2,1.5,0.62
5,4,2022,4.1,2.8,4.8,95.2,0,6,1.1,1.12
6,1,2022,4.5,0.7,4.8,91.2,4,10.4,0.6,0.26
6,2,2022,3.8,2.3,4.8,93.2,2,6.1,0.18,0.95
6,3,2022,3.9,3.5,6.8,89.2,4,6.9,0.77,1.06
6,4,2022,3.9,3.7,4.8,89.2,6,6,0.64,0.98
7,1,2022,4.7,6.5,8.8,81.2,10,4.8,1.3,0.99
7,2,2022,5,7,8.8,81.2,10,5.1,1.1,1.13
7,3,2022,4.8,6,6.8,83.2,10,4.4,0.76,1.02
7,4,2022,4.6,2.7,6.8,79.2,14,3.3,0.91,0.67
8,1,2022,5,1.1,12.8,71.2,16,3,0.18,1.26
8,2,2022,4.6,3.6,12.8,77.2,10,3.6,0.85,0.9
8,3,2022,4.2,5.9,8.8,75.2,16,4.6,1.4,1.65
8,4,2022,4.2,4.2,6.8,81.2,12,4,0.61,0.92
9,1,2022,3.9,7.3,8.8,77.2,14,9.7,2.2,2.2
9,2,2022,3.9,6.4,8.8,77.2,14,12,3.2,2.26
9,3,2022,3.7,4.8,6.8,85.2,8,14.2,2.1,1.94
9,4,2022,3.9,6.8,4.8,83.2,12,6.6,1.9,2.11
10,1,2022,3.7,4.5,4.8,85.2,10,8.5,2.3,1.85
10,2,2022,3.8,8.4,6.8,85.2,8,7.5,1.4,1.7
10,3,2022,4,12.5,6.8,83.2,10,7.9,2.2,1.73
10,4,2022,3.7,5.1,6.8,85.2,8,8.3,2,1.62
11,1,2022,3.6,1.6,4.8,87.2,8,1.1,4.9,0.91
11,2,2022,3.4,1.5,4.8,93.2,2,2.6,9,0.84
11,3,2022,3.2,0.6,6.8,91.2,2,3.6,6.4,1.13
11,4,2022,3.4,0.7,6.8,85.2,8,2.4,3,1.24
12,1,2022,3.8,7,8.8,87.2,4,6.8,6.4,1.24
12,2,2022,3.9,8.6,6.8,83.2,10,6.9,6,1.46
12,3,2022,3.8,6.4,6.8,91.2,2,4.6,7.5,1.87
12,4,2022,3.7,6.7,8.8,83.2,8,5.5,5,1.77
13,1,2022,3.6,1.2,6.8,85.2,8,3.8,7,1.37
13,2,2022,3.7,4.2,10.8,81.2,8,3.7,7.1,1.6
13,3,2022,3.6,5.4,8.8,85.2,6,9.6,14.1,2.05
13,4,2022,3.8,8,8.8,81.2,10,7.7,8.4,1.75
14,1,2022,3.4,0.5,6.8,85.2,8,16.5,4.4,2.31
14,2,2022,3.5,3.5,6.8,85.2,8,4.3,3.5,1.42
14,3,2022,3.7,4.7,6.8,85.2,8,1.1,0.36,0.84
14,4,2022,3.3,1,6.8,83.2,10,4,2,0.66
15,1,2022,3.6,0.8,6.8,85.2,8,7.8,10.7,0.92
15,2,2022,3.8,0.6,6.8,85.2,8,5.2,6.5,1.19
15,3,2022,3.6,0.9,4.8,89.2,6,3.8,5.6,0.81
15,4,2022,3.9,0.7,4.8,91.2,4,2.3,3.5,0.49
16,1,2022,3.8,3.9,8.8,83.2,8,5.9,1.8,1.1
16,2,2022,3.8,2,8.8,87.2,4,6.9,0.41,1.28
16,3,2022,3.7,4.3,4.8,95.2,0,6.2,2.5,1.24
16,4,2022,3.6,4.4,6.8,85.2,8,5.6,0.59,1.02
17,1,2022,5.1,7.4,8.8,83.2,8,28.9,10.6,1.25
17,2,2022,3.9,12.9,8.8,85.2,6,13.8,9.4,0.59
17,3,2022,4.8,11.2,8.8,83.2,8,20.2,9.2,0.68
17,4,2022,4.4,8.5,8.8,85.2,6,23.6,18.9,0.61
