site,year,site_year,ph,rock,clay,sand,silt
1,2002,1_2002,7.98,0,0.25,98.65,1.1
2,2002,2_2002,4.1,0,1.1,97.88,1.03
3,2002,3_2002,4.28,5,2.35,95.38,2.28
4,2002,4_2002,4.13,4,2.05,95.63,2.33
5,2002,5_2002,3.73,6.25,2.2,92,5.8
6,2002,6_2002,3.68,5,1.93,93.33,4.75
7,2002,7_2002,4.5,14.5,1.7,92.4,5.9
8,2002,8_2002,4.28,6.5,4.05,85.28,7.95
9,2002,9_2002,3.53,10.5,3.5,86.9,7.68
10,2002,10_2002,3.35,5.25,3.25,90.13,5.2
11,2002,11_2002,2.95,1.25,1.8,93.38,4.73
12,2002,12_2002,3.3,14.25,2.58,93.08,5.28
13,2002,13_2002,3.18,5.25,1.83,91.2,5.83
14,2002,14_2002,3.03,4.25,2.53,91.68,6.23
15,2002,15_2002,3.13,0.75,3.33,92.13,4.08
16,2002,16_2002,3.35,3.25,4.55,91.45,4
17,2002,17_2002,4.5,21.5,5.43,88.25,6.33
1,2022,1_2022,7.725,0.6,4.3,94.2,1.5
2,2022,2_2022,4.175,0.625,4.8,93.2,2
3,2022,3_2022,4.975,2.925,6.8,86.7,6.5
4,2022,4_2022,4.45,3.425,8.8,86.2,5
5,2022,5_2022,4.075,3.55,6.3,89.2,4.5
6,2022,6_2022,4.025,2.55,5.3,90.7,4
7,2022,7_2022,4.775,5.55,7.8,81.2,11
8,2022,8_2022,4.5,3.7,10.3,76.2,13.5
9,2022,9_2022,3.85,6.325,7.3,80.7,12
10,2022,10_2022,3.8,7.625,6.3,84.7,9
11,2022,11_2022,3.4,1.1,5.8,89.2,5
12,2022,12_2022,3.8,7.175,7.8,86.2,6
13,2022,13_2022,3.675,4.7,8.8,83.2,8
14,2022,14_2022,3.475,2.425,6.8,84.7,8.5
15,2022,15_2022,3.725,0.75,5.8,87.7,6.5
16,2022,16_2022,3.725,3.65,7.3,87.7,5
17,2022,17_2022,4.55,10,8.8,84.2,7
