site,replicate,year,ph,rock,clay,sand,silt,P(mg/kg),NO3(mg/kg),C(%) 
1,1,2002,7.98,0,0.25,98.65,1.1,4.75,2.83,0.24
1,2,2002,7.98,0,0.25,98.65,1.1,4.75,2.83,0.24
1,3,2002,7.98,0,0.25,98.65,1.1,4.75,2.83,0.24
1,4,2002,7.98,0,0.25,98.65,1.1,4.75,2.83,0.24
2,1,2002,4.1,0,1.1,97.88,1.03,3.5,16.36,0.6
2,2,2002,4.1,0,1.1,97.88,1.03,3.5,16.36,0.6
2,3,2002,4.1,0,1.1,97.88,1.03,3.5,16.36,0.6
2,4,2002,4.1,0,1.1,97.88,1.03,3.5,16.36,0.6
3,1,2002,4.28,5,2.35,95.38,2.28,2.75,6.46,0.73
3,2,2002,4.28,5,2.35,95.38,2.28,2.75,6.46,0.73
3,3,2002,4.28,5,2.35,95.38,2.28,2.75,6.46,0.73
3,4,2002,4.28,5,2.35,95.38,2.28,2.75,6.46,0.73
4,1,2002,4.13,4,2.05,95.63,2.33,3.25,9.2,0.9
4,2,2002,4.13,4,2.05,95.63,2.33,3.25,9.2,0.9
4,3,2002,4.13,4,2.05,95.63,2.33,3.25,9.2,0.9
4,4,2002,4.13,4,2.05,95.63,2.33,3.25,9.2,0.9
5,1,2002,3.73,6.25,2.2,92,5.8,20,7.58,1.66
5,2,2002,3.73,6.25,2.2,92,5.8,20,7.58,1.66
5,3,2002,3.73,6.25,2.2,92,5.8,20,7.58,1.66
5,4,2002,3.73,6.25,2.2,92,5.8,20,7.58,1.66
6,1,2002,3.68,5,1.93,93.33,4.75,9.75,8.2,1.44
6,2,2002,3.68,5,1.93,93.33,4.75,9.75,8.2,1.44
6,3,2002,3.68,5,1.93,93.33,4.75,9.75,8.2,1.44
6,4,2002,3.68,5,1.93,93.33,4.75,9.75,8.2,1.44
7,1,2002,4.5,14.5,1.7,92.4,5.9,24.75,13.91,1.51
7,2,2002,4.5,14.5,1.7,92.4,5.9,24.75,13.91,1.51
7,3,2002,4.5,14.5,1.7,92.4,5.9,24.75,13.91,1.51
7,4,2002,4.5,14.5,1.7,92.4,5.9,24.75,13.91,1.51
8,1,2002,4.28,6.5,4.05,85.28,7.95,4.5,17.48,1.29
8,2,2002,4.28,6.5,4.05,85.28,7.95,4.5,17.48,1.29
8,3,2002,4.28,6.5,4.05,85.28,7.95,4.5,17.48,1.29
8,4,2002,4.28,6.5,4.05,85.28,7.95,4.5,17.48,1.29
9,1,2002,3.53,10.5,3.5,86.9,7.68,13.5,31.21,2.92
9,2,2002,3.53,10.5,3.5,86.9,7.68,13.5,31.21,2.92
9,3,2002,3.53,10.5,3.5,86.9,7.68,13.5,31.21,2.92
9,4,2002,3.53,10.5,3.5,86.9,7.68,13.5,31.21,2.92
10,1,2002,3.35,5.25,3.25,90.13,5.2,8,22.1,2.11
10,2,2002,3.35,5.25,3.25,90.13,5.2,8,22.1,2.11
10,3,2002,3.35,5.25,3.25,90.13,5.2,8,22.1,2.11
10,4,2002,3.35,5.25,3.25,90.13,5.2,8,22.1,2.11
11,1,2002,2.95,1.25,1.8,93.38,4.73,7.5,26.47,1.13
11,2,2002,2.95,1.25,1.8,93.38,4.73,7.5,26.47,1.13
11,3,2002,2.95,1.25,1.8,93.38,4.73,7.5,26.47,1.13
11,4,2002,2.95,1.25,1.8,93.38,4.73,7.5,26.47,1.13
12,1,2002,3.3,14.25,2.58,93.08,5.28,10.25,0.23,1.56
12,2,2002,3.3,14.25,2.58,93.08,5.28,10.25,0.23,1.56
12,3,2002,3.3,14.25,2.58,93.08,5.28,10.25,0.23,1.56
12,4,2002,3.3,14.25,2.58,93.08,5.28,10.25,0.23,1.56
13,1,2002,3.18,5.25,1.83,91.2,5.83,9,9.89,1.94
13,2,2002,3.18,5.25,1.83,91.2,5.83,9,9.89,1.94
13,3,2002,3.18,5.25,1.83,91.2,5.83,9,9.89,1.94
13,4,2002,3.18,5.25,1.83,91.2,5.83,9,9.89,1.94
14,1,2002,3.03,4.25,2.53,91.68,6.23,6.5,18.4,1.47
14,2,2002,3.03,4.25,2.53,91.68,6.23,6.5,18.4,1.47
14,3,2002,3.03,4.25,2.53,91.68,6.23,6.5,18.4,1.47
14,4,2002,3.03,4.25,2.53,91.68,6.23,6.5,18.4,1.47
15,1,2002,3.13,0.75,3.33,92.13,4.08,5.25,13.37,0.91
15,2,2002,3.13,0.75,3.33,92.13,4.08,5.25,13.37,0.91
15,3,2002,3.13,0.75,3.33,92.13,4.08,5.25,13.37,0.91
15,4,2002,3.13,0.75,3.33,92.13,4.08,5.25,13.37,0.91
16,1,2002,3.35,3.25,4.55,91.45,4,8.5,5.58,1.54
16,2,2002,3.35,3.25,4.55,91.45,4,8.5,5.58,1.54
16,3,2002,3.35,3.25,4.55,91.45,4,8.5,5.58,1.54
16,4,2002,3.35,3.25,4.55,91.45,4,8.5,5.58,1.54
17,1,2002,4.5,21.5,5.43,88.25,6.33,21.25,1.68,0.83
17,2,2002,4.5,21.5,5.43,88.25,6.33,21.25,1.68,0.83
17,3,2002,4.5,21.5,5.43,88.25,6.33,21.25,1.68,0.83
17,4,2002,4.5,21.5,5.43,88.25,6.33,21.25,1.68,0.83
