site,year,site_year,bare_ground,litter,rock,vegetation
1,2002,1_2002,56.13,13.13,0,30.75
2,2002,2_2002,50.63,24.23,0,25.75
3,2002,3_2002,44.13,1.38,8.88,45.63
4,2002,4_2002,33.88,7.25,12,46.88
5,2002,5_2002,25.38,2.25,29.63,42.75
6,2002,6_2002,40.75,0.75,20.88,37.63
7,2002,7_2002,40.25,0.5,20.75,38.5
8,2002,8_2002,47.5,4,16.88,31.63
9,2002,9_2002,28.88,0.25,25,45.88
10,2002,10_2002,26.38,0,32,41.63
11,2002,11_2002,52.25,0,16.63,31.13
12,2002,12_2002,22.25,0.75,48.25,28.75
13,2002,13_2002,42,0,25.25,32.75
14,2002,14_2002,48.63,0,13.13,38.25
15,2002,15_2002,66.75,1,0,32.25
16,2002,16_2002,55,0,25.13,19.88
17,2002,17_2002,39.25,0.75,49.63,10.38
1,2022,1_2022,48.475,11.525,0,40
2,2022,2_2022,42.8,23.625,1.25,32.825
3,2022,3_2022,54.275,11.975,7.775,25.975
4,2022,4_2022,25.375,20.95,13.1,40.575
5,2022,5_2022,10.45,16.975,32.05,40.525
6,2022,6_2022,34.075,12,15.625,38.3
7,2022,7_2022,31.825,9.625,9.15,49.9
8,2022,8_2022,26.325,8,13.575,52.6
9,2022,9_2022,14.625,10,14.425,60.95
10,2022,10_2022,8.55,8.2,37.65,45.6
11,2022,11_2022,18.625,21.75,14.025,46.075
12,2022,12_2022,11.75,8.5,40.125,39.625
13,2022,13_2022,11.974358974359,6.97435897435897,25.6666666666667,54
14,2022,14_2022,17.5,7.325,13.025,62.15
15,2022,15_2022,26.875,10.2,1.5,61.425
16,2022,16_2022,26.925,11.375,18.275,43.425
17,2022,17_2022,26.25,16,45.1,12.65
