site,replicate,trap,year,season,bare_ground,litter,rock,veg
1,1,1,2002,October,60,35,0,5
1,1,2,2002,October,55,45,0,0
1,1,3,2002,October,45,55,0,0
1,1,4,2002,October,35,65,0,0
1,1,5,2002,October,55,10,0,35
1,1,6,2002,October,55,45,0,0
1,1,7,2002,October,70,30,0,0
1,1,8,2002,October,80,15,0,5
1,1,9,2002,October,90,0,0,10
1,1,10,2002,October,80,0,0,20
1,2,1,2002,October,85,0,0,15
1,2,2,2002,October,25,65,0,10
1,2,3,2002,October,70,0,0,30
1,2,4,2002,October,25,0,0,75
1,2,5,2002,October,60,10,0,30
1,2,6,2002,October,70,0,0,30
1,2,7,2002,October,45,35,0,20
1,2,8,2002,October,55,0,0,45
1,2,9,2002,October,25,60,0,15
1,2,10,2002,October,80,0,0,20
1,3,1,2002,October,65,20,0,15
1,3,2,2002,October,70,25,0,5
1,3,3,2002,October,65,0,0,35
1,3,4,2002,October,30,0,0,70
1,3,5,2002,October,55,0,0,45
1,3,6,2002,October,55,0,0,45
1,3,7,2002,October,75,10,0,15
1,3,8,2002,October,80,0,0,20
1,3,9,2002,October,10,0,0,90
1,3,10,2002,October,15,0,0,85
1,4,1,2002,October,80,0,0,20
1,4,2,2002,October,65,0,0,35
1,4,3,2002,October,10,0,0,90
1,4,4,2002,October,75,0,0,25
1,4,5,2002,October,25,0,0,75
1,4,6,2002,October,80,0,0,20
1,4,7,2002,October,65,0,0,35
1,4,8,2002,October,60,0,0,40
1,4,9,2002,October,75,0,0,25
1,4,10,2002,October,25,0,0,75
2,1,1,2002,October,50,30,0,20
2,1,2,2002,October,55,10,0,35
2,1,3,2002,October,55,35,0,10
2,1,4,2002,October,65,15,0,20
2,1,5,2002,October,60,20,0,20
2,1,6,2002,October,20,60,0,20
2,1,7,2002,October,80,20,0,0
2,1,8,2002,October,45,25,0,30
2,1,9,2002,October,35,55,0,10
2,1,10,2002,October,35,30,0,35
2,2,1,2002,October,65,0,0,35
2,2,2,2002,October,30,65,0,5
2,2,3,2002,October,50,40,0,10
2,2,4,2002,October,40,10,0,50
2,2,5,2002,October,30,60,0,10
2,2,6,2002,October,20,0,0,80
2,2,7,2002,October,80,0,0,20
2,2,8,2002,October,30,10,0,60
2,2,9,2002,October,80,0,0,20
2,2,10,2002,October,50,0,0,50
2,3,1,2002,October,60,10,0,30
2,3,2,2002,October,60,0,0,40
2,3,3,2002,October,20,30,0,50
2,3,4,2002,October,60,20,0,20
2,3,5,2002,October,35,0,0,65
2,3,6,2002,October,65,0,0,35
2,3,7,2002,October,45,55,0,0
2,3,8,2002,October,45,55,0,0
2,3,9,2002,October,25,0,0,75
2,3,10,2002,October,70,10,0,20
2,4,1,2002,October,55,0,0,45
2,4,2,2002,October,45,40,0,15
2,4,3,2002,October,90,0,0,10
2,4,4,2002,October,90,0,0,10
2,4,5,2002,October,60,30,0,10
2,4,6,2002,October,55,35,0,10
2,4,7,2002,October,45,45,0,10
2,4,8,2002,October,20,55,0,25
2,4,9,2002,October,80,0,0,20
2,4,10,2002,October,15,75,0,10
3,1,1,2002,October,20,0,0,80
3,1,2,2002,October,20,0,10,70
3,1,3,2002,October,60,0,10,30
3,1,4,2002,October,0,0,10,90
3,1,5,2002,October,60,0,10,30
3,1,6,2002,October,70,0,5,25
3,1,7,2002,October,0,15,5,80
3,1,8,2002,October,20,0,10,70
3,1,9,2002,October,60,0,15,25
3,1,10,2002,October,50,0,10,40
3,2,1,2002,October,60,0,15,25
3,2,2,2002,October,50,0,10,40
3,2,3,2002,October,50,0,5,45
3,2,4,2002,October,10,0,0,90
3,2,5,2002,October,63,0,10,27
3,2,6,2002,October,5,0,0,95
3,2,7,2002,October,50,0,10,40
3,2,8,2002,October,5,0,0,95
3,2,9,2002,October,60,0,20,20
3,2,10,2002,October,45,20,10,25
3,3,1,2002,October,70,0,10,20
3,3,2,2002,October,50,0,10,40
3,3,3,2002,October,40,0,30,30
3,3,4,2002,October,65,0,10,25
3,3,5,2002,October,40,0,10,50
3,3,6,2002,October,80,0,10,10
3,3,7,2002,October,30,0,0,70
3,3,8,2002,October,40,0,20,40
3,3,9,2002,October,25,0,10,65
3,3,10,2002,October,15,0,10,75
3,4,1,2002,October,80,0,5,15
3,4,2,2002,October,80,0,0,20
3,4,3,2002,October,65,0,10,25
3,4,4,2002,October,35,0,15,50
3,4,5,2002,October,65,0,0,35
3,4,6,2002,October,10,0,15,75
3,4,7,2002,October,55,0,10,35
3,4,8,2002,October,50,15,0,35
3,4,9,2002,October,50,0,10,40
3,4,10,2002,October,55,0,10,35
4,1,1,2002,October,60,0,0,40
4,1,2,2002,October,25,0,0,75
4,1,3,2002,October,50,0,0,50
4,1,4,2002,October,35,0,10,55
4,1,5,2002,October,20,0,70,10
4,1,6,2002,October,20,0,10,70
4,1,7,2002,October,30,0,10,60
4,1,8,2002,October,40,0,0,60
4,1,9,2002,October,45,0,5,50
4,1,10,2002,October,25,30,0,45
4,2,1,2002,October,40,0,0,60
4,2,2,2002,October,45,0,20,35
4,2,3,2002,October,45,0,15,40
4,2,4,2002,October,35,0,15,50
4,2,5,2002,October,15,0,0,85
4,2,6,2002,October,35,0,0,65
4,2,7,2002,October,30,0,15,55
4,2,8,2002,October,15,0,0,85
4,2,9,2002,October,70,5,0,25
4,2,10,2002,October,45,10,0,45
4,3,1,2002,October,20,0,0,80
4,3,2,2002,October,65,0,0,35
4,3,3,2002,October,60,0,10,30
4,3,4,2002,October,20,0,10,70
4,3,5,2002,October,75,0,0,25
4,3,6,2002,October,0,75,0,25
4,3,7,2002,October,45,0,0,55
4,3,8,2002,October,30,60,0,10
4,3,9,2002,October,35,0,10,55
4,3,10,2002,October,20,50,0,30
4,4,1,2002,October,20,0,20,60
4,4,2,2002,October,30,0,10,60
4,4,3,2002,October,20,0,15,65
4,4,4,2002,October,20,10,20,50
4,4,5,2002,October,50,0,0,50
4,4,6,2002,October,20,20,60,0
4,4,7,2002,October,20,20,60,0
4,4,8,2002,October,30,0,20,50
4,4,9,2002,October,20,10,30,40
4,4,10,2002,October,30,0,60,10
5,1,1,2002,October,45,0,15,40
5,1,2,2002,October,25,0,0,75
5,1,3,2002,October,40,0,5,55
5,1,4,2002,October,55,0,0,45
5,1,5,2002,October,20,0,0,80
5,1,6,2002,October,55,0,0,45
5,1,7,2002,October,30,0,25,45
5,1,8,2002,October,30,0,45,25
5,1,9,2002,October,20,0,0,80
5,1,10,2002,October,20,0,0,80
5,2,1,2002,October,10,0,35,55
5,2,2,2002,October,25,0,45,30
5,2,3,2002,October,10,0,20,70
5,2,4,2002,October,10,0,35,55
5,2,5,2002,October,20,0,20,60
5,2,6,2002,October,20,0,20,60
5,2,7,2002,October,40,0,50,10
5,2,8,2002,October,25,0,60,15
5,2,9,2002,October,20,0,20,60
