"year","site","protea","restio","erica","strandveld","succ_karoo","dom_veg"
"2022","1",0,0,0,40,0,"strandveld"
"2022","2",2.025,11.1,19.7,0,0,"erica"
"2022","3",2.125,7,16.85,0,0,"erica"
"2022","4",1.95,11.125,27.5,0,0,"erica"
"2022","5",2.375,13.525,24.625,0,0,"erica"
"2022","6",0.125,31.625,6.55,0,0,"restio"
"2022","7",0.375,22.025,27.5,0,0,"erica"
"2022","8",3,22,27.6,0,0,"erica"
"2022","9",3.05,24.175,33.725,0,0,"erica"
"2022","10",0.875,30.875,13.85,0,0,"restio"
"2022","11",0,40.675,5.4,0,0,"restio"
"2022","12",0.875,27.6,11.15,0,0,"restio"
"2022","13",0.175,38.125,16.95,0,0,"restio"
"2022","14",0,44.95,17.2,0,0,"restio"
"2022","15",0.75,51.2,9.475,0,0,"restio"
"2022","16",0,30.25,13.175,0,0,"restio"
"2022","17",0,0,0,0,12.65,"succulent_karoo"
"2023","1",0,0,0,35.375,0,"strandveld"
"2023","2",3.175,14.675,13.525,0,0,"restio"
"2023","3",2.375,7.75,19.95,0,0,"erica"
"2023","4",6.75,11.925,25.2,0,0,"erica"
"2023","5",4.15,16.625,21.625,0,0,"erica"
"2023","6",0.55,31.125,8.35,0,0,"restio"
"2023","7",0.175,17.625,24.675,0,0,"erica"
"2023","8",3.125,21.375,29.625,0,0,"erica"
"2023","9",2.975,24.5,39.45,0,0,"erica"
"2023","10",3.175,27.825,19.125,0,0,"restio"
"2023","11",0,50.325,2.675,0,0,"restio"
"2023","12",1.5,22.25,13.175,0,0,"restio"
"2023","13",9.425,26.325,12.875,0,0,"restio"
"2023","14",0,35.375,17,0,0,"restio"
"2023","15",1.625,36.925,11.675,0,0,"restio"
"2023","16",0.625,27.825,11.25,0,0,"restio"
"2023","17",0,0,0,0,18.05,"succulent_karoo"
