site,replicate,year,season,tothits,maxhgt
1,1,2002,October,6.42857142857143,1
1,2,2002,October,6.85714285714286,1.5
1,3,2002,October,6.85714285714286,1.5
1,4,2002,October,5.14285714285714,1.25
2,1,2002,October,14.4285714285714,6
2,2,2002,October,11.2857142857143,1.5
2,3,2002,October,13.5714285714286,1.5
2,4,2002,October,13.8571428571429,1.25
3,1,2002,October,13.7142857142857,1
3,2,2002,October,13.4285714285714,1.5
3,3,2002,October,7,1.5
3,4,2002,October,8.28571428571429,1.25
4,1,2002,October,14.2857142857143,1
4,2,2002,October,15.1428571428571,1.5
4,3,2002,October,16,1.5
4,4,2002,October,13.5714285714286,1.25
5,1,2002,October,6.71428571428571,1
5,2,2002,October,2.71428571428571,1.5
5,3,2002,October,3.85714285714286,1.5
5,4,2002,October,5.28571428571429,1.25
6,1,2002,October,4.28571428571429,1
6,2,2002,October,8,1.5
6,3,2002,October,8.85714285714286,1.5
6,4,2002,October,10.7142857142857,1.25
7,1,2002,October,7,1
7,2,2002,October,6,1.5
7,3,2002,October,7.71428571428571,1.5
7,4,2002,October,5.28571428571429,1.25
8,1,2002,October,6.28571428571429,1
8,2,2002,October,7.14285714285714,1.5
8,3,2002,October,6.42857142857143,1.5
8,4,2002,October,4.85714285714286,1.25
9,1,2002,October,8,1
9,2,2002,October,8.28571428571429,1.5
9,3,2002,October,6.14285714285714,1.5
9,4,2002,October,7.28571428571429,1.25
10,1,2002,October,10.7142857142857,1
10,2,2002,October,10.2857142857143,1.5
10,3,2002,October,9.14285714285714,1.5
10,4,2002,October,8.57142857142857,1.25
11,1,2002,October,1.71428571428571,1
11,2,2002,October,3.71428571428571,1.5
11,3,2002,October,8.85714285714286,1.5
11,4,2002,October,4.71428571428571,1.25
12,1,2002,October,5.85714285714286,1
12,2,2002,October,9.85714285714286,1.5
12,3,2002,October,9.85714285714286,1.5
12,4,2002,October,8.71428571428571,1.25
13,1,2002,October,6.71428571428571,1
13,2,2002,October,4.85714285714286,1.5
13,3,2002,October,5.57142857142857,1.5
13,4,2002,October,6.14285714285714,1.25
14,1,2002,October,13.7142857142857,1
14,2,2002,October,9.57142857142857,1.5
14,3,2002,October,5.71428571428571,1.5
14,4,2002,October,7.42857142857143,1.25
15,1,2002,October,8.71428571428571,1
15,2,2002,October,7.57142857142857,1.5
15,3,2002,October,8.42857142857143,1.5
15,4,2002,October,4,1.25
16,1,2002,October,4.42857142857143,1
16,2,2002,October,4.42857142857143,1.5
16,3,2002,October,5.14285714285714,1.5
16,4,2002,October,8.71428571428571,1.25
17,1,2002,October,7,1
17,2,2002,October,5.71428571428571,1.5
17,3,2002,October,5,1.5
17,4,2002,October,7.71428571428571,1.25
1,1,2003,October,5.42857142857143,2
1,2,2003,October,5.71428571428571,2.25
1,3,2003,October,5.42857142857143,2
1,4,2003,October,3.85714285714286,2.5
2,1,2003,October,15.1428571428571,5.5
2,2,2003,October,12.1428571428571,5.5
2,3,2003,October,9.42857142857143,4.25
2,4,2003,October,10.5714285714286,5.5
3,1,2003,October,13.7142857142857,4
3,2,2003,October,18.8571428571429,5.5
3,3,2003,October,12.4285714285714,4
3,4,2003,October,15.4285714285714,5
4,1,2003,October,14.1428571428571,5.25
4,2,2003,October,17.7142857142857,5
4,3,2003,October,16,4.75
4,4,2003,October,10.8571428571429,4.75
5,1,2003,October,11.7142857142857,4.75
5,2,2003,October,9.14285714285714,3.25
5,3,2003,October,22,6.25
5,4,2003,October,26.5714285714286,5.75
6,1,2003,October,2.57142857142857,2
6,2,2003,October,10.5714285714286,3
6,3,2003,October,7.85714285714286,2.25
6,4,2003,October,7.28571428571429,2.25
7,1,2003,October,7.42857142857143,2.5
7,2,2003,October,5.57142857142857,1.75
7,3,2003,October,7,2.5
7,4,2003,October,7.57142857142857,2.5
8,1,2003,October,10.5714285714286,3.25
8,2,2003,October,8.57142857142857,3
8,3,2003,October,7.57142857142857,1.75
8,4,2003,October,5.57142857142857,1.75
9,1,2003,October,7.85714285714286,1.5
9,2,2003,October,8.71428571428571,2.25
9,3,2003,October,7.71428571428571,2
9,4,2003,October,10.2857142857143,2
10,1,2003,October,8.57142857142857,3
10,2,2003,October,8.14285714285714,2.75
10,3,2003,October,10.1428571428571,2.25
10,4,2003,October,8.85714285714286,2.25
11,1,2003,October,2.85714285714286,1.25
11,2,2003,October,3,1
11,3,2003,October,7,3
11,4,2003,October,3.71428571428571,1
12,1,2003,October,3.57142857142857,1.5
12,2,2003,October,7.85714285714286,2.25
12,3,2003,October,7.42857142857143,2.25
12,4,2003,October,7.85714285714286,1.75
13,1,2003,October,8.14285714285714,2
13,2,2003,October,7.28571428571429,2.25
13,3,2003,October,9.85714285714286,2
13,4,2003,October,7.57142857142857,2
14,1,2003,October,19.5714285714286,4.25
14,2,2003,October,6.71428571428571,2.5
14,3,2003,October,7.42857142857143,2.25
14,4,2003,October,8.42857142857143,2
15,1,2003,October,9,2.25
15,2,2003,October,10.1428571428571,3
15,3,2003,October,6,1.75
15,4,2003,October,5.71428571428571,1.75
16,1,2003,October,5.14285714285714,2
16,2,2003,October,6.14285714285714,2.5
16,3,2003,October,5.71428571428571,2.5
16,4,2003,October,6.57142857142857,2.5
17,1,2003,October,3.85714285714286,2.75
17,2,2003,October,4.28571428571429,3.5
17,3,2003,October,4.85714285714286,3
17,4,2003,October,4.42857142857143,3
1,1,2022,October,5.14285714285714,2
1,2,2022,October,5.71428571428571,2
1,3,2022,October,5,2.25
1,4,2022,October,5.42857142857143,1.5
2,1,2022,October,15.1428571428571,5.5
2,2,2022,October,8.71428571428571,5.25
2,3,2022,October,12.5714285714286,5
2,4,2022,October,15.2857142857143,4.5
3,1,2022,October,4,3
3,2,2022,October,6.71428571428571,3.25
3,3,2022,October,6.42857142857143,2.75
3,4,2022,October,7.71428571428571,4.75
4,1,2022,October,11.2857142857143,5
4,2,2022,October,8.57142857142857,3.75
4,3,2022,October,9.85714285714286,3.5
4,4,2022,October,1.60714285714286,3.5
5,1,2022,October,14.7142857142857,5.25
5,2,2022,October,12.2857142857143,3.5
5,3,2022,October,16.1428571428571,5.75
5,4,2022,October,25.7142857142857,6.25
6,1,2022,October,6,2.75
6,2,2022,October,13.1428571428571,3.25
6,3,2022,October,12.5714285714286,3.25
6,4,2022,October,12.8571428571429,3.25
7,1,2022,October,11.8571428571429,2.5
7,2,2022,October,11.4285714285714,2.5
7,3,2022,October,10.7142857142857,2.75
7,4,2022,October,10.5714285714286,2.75
8,1,2022,October,11.2857142857143,3
8,2,2022,October,10.2857142857143,2.5
8,3,2022,October,13.4285714285714,3
8,4,2022,October,7.28571428571429,2.25
9,1,2022,October,13.7142857142857,3
9,2,2022,October,11.8571428571429,2
9,3,2022,October,9.14285714285714,2
9,4,2022,October,14.2857142857143,3.5
10,1,2022,October,10.1428571428571,3.5
10,2,2022,October,7.42857142857143,2.75
10,3,2022,October,7.57142857142857,3.25
10,4,2022,October,8.28571428571429,3.25
11,1,2022,October,10.5714285714286,2.25
11,2,2022,October,4,2
11,3,2022,October,9.28571428571429,3
11,4,2022,October,10,2.25
12,1,2022,October,9.28571428571429,2.25
12,2,2022,October,10,3.25
12,3,2022,October,8.85714285714286,3
12,4,2022,October,7,2.5
