year,site,replicate,anthia_decemguttata,stenocara_dentata,zophosis_gracilicornis,Hypomelus sp 1,Stenocara sp 1,Oncotus cedrimontis,Cryptochile sp 1,Cryptochile assimilis,Horatoma sp 1,Cryptochile setipennis,Cryptochile sp 2,?Pachynotelus sp 1,Pachynotelus sp 2,Moluris globulicollis,Mariazofia sp 1,Ocnodes sp 1,Ocnodes sp 2,Ocnodes sp 3,Ocnodes sp 4,Ocnodes sp 5,Psammodes longicornis,Somaticus sp 1,Somaticus sp 2,Somaticus sp 3,Physadesmia sp. 1,Oxura sp. 1,Somaticus sp. 4,Somaticus sp. 5,Hypomelus sp. 2,Ocnodes sp. 6,Broomium sp. 1,Broomium sp. 2,Herpiscius spinolae,Planostibes sp. 1,Blenosia sp. 1,Harpalus sp. 1,Harpalus sp. 2,Hystrichopus sp. 1,Gonogenia sp. 1,Scarites rugosus,Ropaloteres lurida,Cicindela sp.1
2022,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,1,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2022,1,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
2022,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0
2022,2,1,0,0,21,0,0,0,2,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2022,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,3,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,4,0,0,10,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2022,3,1,0,0,19,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
2022,3,2,0,1,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2022,3,3,0,5,8,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2022,3,4,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,4,1,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
