Year,Elevation,Replicate,Pitfall trap,Anthia decemguttata,Stenocara dentata,Zophosis longicornis
2002,0  W,4,2,0,1,0
2002,0  W,4,3,0,2,0
2002,0  W,4,8,0,1,0
2002,200 W,1,4,2,0,0
2002,200 W,1,5,2,0,0
2002,200 W,2,9,0,0,1
2002,200 W,3,5,2,0,0
2002,200 W,3,6,0,0,1
2002,200 W,4,5,0,0,1
2002,300 W,1,6,1,0,1
2002,300 W,1,7,1,0,0
2002,300 W,1,8,0,0,1
2002,300 W,1,9,0,0,1
2002,300 W,1,10,0,0,2
2002,300 W,1,1,0,0,1
2002,300 W,1,2,0,0,1
2002,300 W,1,3,0,0,1
2002,300 W,1,8,0,0,2
2002,300 W,1,2,0,0,1
2002,300 W,1,5,0,0,1
2002,500 W,1,1,0,0,2
2002,500 W,1,2,0,0,1
2002,500 W,1,6,0,0,1
2002,500 W,1,9,0,0,1
2002,500 W,1,10,0,0,4
2002,500 W,2,2,0,0,1
2002,500 W,2,3,0,0,3
2002,500 W,2,5,0,0,1
2002,500 W,2,8,0,0,2
2002,500 W,2,9,0,0,2
2002,500 W,3,1,0,0,3
2002,500 W,3,5,0,0,3
2002,500 W,3,6,0,0,2
2002,500 W,3,9,0,0,1
2002,700 W,1,1,1,0,1
2002,700 W,1,2,0,0,1
2002,700 W,1,3,0,0,1
2002,700 W,1,5,0,0,2
2002,700 W,1,6,0,0,1
2002,700 W,1,7,0,0,1
2002,700 W,1,8,1,0,1
2002,700 W,2,1,0,0,3
2002,700 W,2,2,0,0,1
2002,700 W,2,4,1,0,0
2002,700 W,2,5,0,0,1
2002,700 W,2,7,0,0,1
2002,700 W,2,9,1,0,0
2002,700 W,2,10,0,0,5
2002,700 W,3,1,0,0,1
2002,700 W,3,3,0,0,3
2002,700 W,3,6,0,0,2
2002,700 W,3,8,0,0,1
2002,700 W,4,3,0,0,2
2002,700 W,4,9,0,0,1
2002,900 W,1,3,0,0,3
2002,900 W,1,5,0,0,1
2002,900 W,1,6,1,0,3
2002,900 W,1,7,0,0,1
2002,900 W,1,10,1,0,0
2002,900 W,2,1,0,0,4
2002,900 W,2,2,0,0,3
2002,900 W,2,3,0,0,1
2002,900 W,2,4,0,0,4
2002,900 W,2,5,0,0,2
2002,900 W,2,6,1,0,2
2002,900 W,2,7,2,0,5
2002,900 W,2,8,1,0,5
2002,900 W,2,9,0,0,3
2002,900 W,2,10,0,0,1
2002,900 W,3,1,0,0,5
2002,900 W,3,3,0,0,4
2002,900 W,3,4,1,0,0
2002,900 W,3,6,0,0,1
2002,900 W,3,8,0,0,5
2002,900 W,3,9,1,0,0
2002,900 W,4,1,1,0,2
2002,900 W,4,2,1,0,2
2002,900 W,4,3,0,0,4
2002,900 W,4,4,0,0,2
2002,900 W,4,5,0,0,6
2002,900 W,4,6,0,0,3
2002,900 W,4,7,1,0,2
2002,1100 W,1,1,0,0,2
2002,1100 W,1,2,0,0,10
2002,1100 W,1,3,2,0,6
2002,1100 W,1,4,0,0,1
2002,1100 W,1,6,0,0,5
2002,1100 W,1,7,0,0,7
2002,1100 W,1,10,0,0,4
2002,1100 W,2,1,0,3,0
2002,1100 W,2,2,2,0,8
2002,1100 W,2,3,0,0,2
2002,1100 W,2,4,0,0,9
2002,1100 W,2,5,0,0,1
2002,1100 W,2,6,0,0,6
2002,1100 W,2,7,0,0,9
2002,1100 W,2,8,1,0,11
2002,1100 W,2,9,0,2,5
2002,1100 W,2,10,0,2,3
2002,1100 W,3,1,0,0,4
2002,1100 W,3,2,0,0,4
2002,1100 W,3,3,0,2,6
2002,1100 W,3,4,0,1,5
2002,1100 W,3,6,1,0,4
2002,1100 W,3,7,0,0,6
2002,1100 W,3,9,0,0,3
2002,1100 W,3,10,0,0,2
2002,1100 W,4,1,2,0,5
2002,1100 W,4,2,3,0,2
2002,1100 W,4,3,2,0,3
2002,1100 W,4,4,1,0,2
2002,1100 W,4,5,2,1,1
2002,1100 W,4,6,2,0,4
2002,1100 W,4,7,3,0,0
2002,1100 W,4,8,3,2,2
2002,1100 W,4,9,2,0,7
