site,replicate,year,anthia_decemguttata,Harpalus.sp..1,Harpalus.sp..2,Hystrichopus.sp..1,Gonogenia.sp..1,Scarites.rugosus
1,1,2022,0,0,0,0,0,0
1,2,2022,0,0,0,0,0,3
1,3,2022,0,0,0,0,0,7
1,4,2022,0,0,0,0,0,6
2,1,2022,0,1,0,0,0,0
2,2,2022,0,0,0,0,0,0
2,3,2022,0,0,0,0,0,0
2,4,2022,0,0,0,0,0,0
3,1,2022,0,0,0,0,0,0
3,2,2022,0,0,0,0,0,0
3,3,2022,0,0,0,0,0,0
3,4,2022,0,0,0,0,0,0
4,1,2022,0,0,0,0,0,0
4,2,2022,0,0,0,0,0,0
4,3,2022,4,0,0,0,0,0
4,4,2022,1,0,0,0,0,0
5,1,2022,2,0,0,0,0,0
5,2,2022,4,0,0,0,0,0
5,3,2022,0,0,0,0,0,0
5,4,2022,0,0,0,0,0,0
6,1,2022,5,0,0,0,6,0
6,2,2022,3,0,0,0,0,0
6,3,2022,9,0,0,0,0,0
6,4,2022,2,0,0,0,0,0
7,1,2022,10,0,0,0,3,0
7,2,2022,36,0,1,0,1,0
7,3,2022,25,0,0,0,10,0
7,4,2022,12,0,0,0,3,0
8,1,2022,4,0,0,0,0,0
8,2,2022,6,0,0,0,0,0
8,3,2022,5,0,0,0,0,0
8,4,2022,18,0,0,0,0,0
9,1,2022,8,0,0,0,0,0
9,2,2022,20,0,0,0,0,0
9,3,2022,7,0,0,0,0,0
9,4,2022,12,0,0,0,0,0
10,1,2022,2,0,0,0,0,0
10,2,2022,4,0,0,0,0,0
10,3,2022,4,0,0,0,0,0
10,4,2022,5,0,0,0,0,0
11,1,2022,5,0,0,0,0,0
11,2,2022,0,0,0,0,0,0
11,3,2022,0,0,0,1,0,0
11,4,2022,2,0,0,1,0,0
12,1,2022,13,0,0,0,0,0
12,2,2022,2,0,0,0,0,0
12,3,2022,1,0,0,0,0,0
12,4,2022,0,0,0,0,0,0
13,1,2022,6,0,0,0,0,0
13,2,2022,9,0,0,0,0,0
13,3,2022,0,0,0,0,0,0
13,4,2022,1,0,0,0,0,0
14,1,2022,0,0,3,0,0,0
14,2,2022,0,0,0,0,0,0
14,3,2022,0,0,4,0,0,0
14,4,2022,0,0,2,0,0,0
15,1,2022,3,0,1,0,0,0
15,2,2022,8,0,0,0,0,0
15,3,2022,2,0,0,0,0,0
15,4,2022,1,0,0,0,0,0
16,1,2022,2,0,0,0,0,0
16,2,2022,3,0,1,0,0,0
16,3,2022,2,0,0,0,0,0
16,4,2022,3,0,0,0,0,0
17,1,2022,0,0,0,0,0,0
17,2,2022,0,0,0,0,0,0
17,3,2022,0,0,0,0,0,0
17,4,2022,0,0,0,0,0,0
1,1,2023,0,0,0,0,0,0
1,2,2023,0,0,0,0,0,0
1,3,2023,0,0,0,0,0,0
1,4,2023,0,0,0,0,0,0
2,1,2023,0,0,0,0,0,0
2,2,2023,0,0,0,0,0,0
2,3,2023,0,0,0,0,0,0
2,4,2023,0,0,0,0,0,0
3,1,2023,0,0,0,0,0,0
3,2,2023,0,0,0,0,0,0
3,3,2023,0,0,0,0,0,0
3,4,2023,0,0,0,0,0,0
4,1,2023,0,0,0,0,0,0
4,2,2023,0,0,0,0,0,0
4,3,2023,0,0,0,0,0,0
4,4,2023,0,0,0,0,0,0
5,1,2023,0,0,0,0,0,0
5,2,2023,0,0,0,0,0,0
5,3,2023,0,0,0,0,0,0
5,4,2023,0,0,0,0,0,0
6,1,2023,0,0,0,0,0,0
6,2,2023,0,0,0,0,0,0
6,3,2023,0,0,0,0,0,0
6,4,2023,0,0,0,0,0,0
7,1,2023,0,0,0,0,1,0
7,2,2023,0,0,0,0,0,0
7,3,2023,0,0,0,0,0,0
7,4,2023,0,0,0,0,0,0
8,1,2023,0,0,0,0,0,0
8,2,2023,0,0,0,0,0,0
8,3,2023,0,0,0,0,0,0
8,4,2023,0,0,0,0,0,0
9,1,2023,0,0,0,0,0,0
9,2,2023,0,0,0,0,0,0
9,3,2023,0,0,0,0,0,0
9,4,2023,0,0,0,0,0,0
10,1,2023,0,0,0,0,0,0
10,2,2023,0,0,0,0,0,0
10,3,2023,0,0,0,0,0,0
10,4,2023,2,0,0,0,0,0
11,1,2023,1,0,0,0,0,0
11,2,2023,0,0,0,0,0,0
11,3,2023,0,0,0,0,0,0
11,4,2023,0,0,0,0,0,0
12,1,2023,0,0,0,0,0,0
12,2,2023,0,0,0,0,0,0
12,3,2023,0,0,0,0,0,0
12,4,2023,0,0,0,0,0,0
13,1,2023,0,0,0,0,0,0
13,2,2023,0,0,0,0,0,0
13,3,2023,0,0,0,0,0,0
13,4,2023,0,0,0,0,0,0
14,1,2023,0,0,0,0,0,0
14,2,2023,0,0,0,0,0,0
14,3,2023,0,0,0,0,0,0
14,4,2023,0,0,0,0,0,0
15,1,2023,1,0,0,0,0,0
15,2,2023,0,0,0,0,0,0
15,3,2023,0,0,0,0,0,0
15,4,2023,0,0,0,0,0,0
16,1,2023,0,0,0,0,0,0
16,2,2023,0,0,0,0,0,0
16,3,2023,0,0,0,0,0,0
16,4,2023,0,0,0,0,0,0
17,1,2023,0,0,0,0,0,0
17,2,2023,0,0,0,0,0,0
17,3,2023,0,0,0,0,0,0
17,4,2023,0,0,0,0,0,0
