label,site,replicate,year,Acanthoscelis sp 1,Carab sp 1,Carab sp 2,Carab sp 3,Carab sp 4,Carab sp 6,Carabid sp 5,Graphipterus lineolatus,Hystrichopus mnizechi cf.,Microlestia sp 1,Passalidius sp 1,Thermophilum decemguttatum
Oct02 1.1,1,1,2002,1,0,0,1,0,0,0,0,0,0,0,0
Oct02 1.2,1,2,2002,6,0,0,0,0,0,0,0,0,0,0,0
Oct02 1.3,1,3,2002,4,0,0,0,0,0,0,0,0,0,0,0
Oct02 1.4,1,4,2002,5,0,0,0,0,0,0,0,0,0,0,0
Oct02 2.1,2,1,2002,0,0,0,1,0,0,0,0,0,0,1,4
Oct02 2.2,2,2,2002,0,0,0,0,0,0,0,0,0,0,2,0
Oct02 2.3,2,3,2002,0,0,0,0,0,0,0,0,0,0,2,2
Oct02 2.4,2,4,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 3.1,3,1,2002,0,0,0,0,0,0,0,1,0,0,0,2
Oct02 3.2,3,2,2002,0,0,0,0,0,0,0,1,0,0,0,0
Oct02 3.3,3,3,2002,0,0,0,2,0,0,2,1,0,0,0,0
Oct02 3.4,3,4,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 4.1,4,1,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 4.2,4,2,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 4.3,4,3,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 4.4,4,4,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 5.1,5,1,2002,0,0,0,0,0,0,0,0,0,0,0,2
Oct02 5.2,5,2,2002,0,0,0,0,0,0,0,0,0,0,0,2
Oct02 5.3,5,3,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 5.4,5,4,2002,0,0,1,0,0,0,0,0,0,0,0,0
Oct02 6.1,6,1,2002,0,0,0,0,0,0,0,0,0,1,0,2
Oct02 6.2,6,2,2002,0,0,0,0,0,0,0,0,0,1,0,4
Oct02 6.3,6,3,2002,0,1,0,0,0,0,0,0,0,3,0,2
Oct02 6.4,6,4,2002,0,0,0,0,0,0,0,0,0,4,0,3
Oct02 7.1,7,1,2002,0,0,0,0,0,0,0,1,0,1,0,2
Oct02 7.2,7,2,2002,0,0,0,0,0,0,0,0,0,0,0,3
Oct02 7.3,7,3,2002,0,0,0,0,0,0,0,0,0,0,0,1
Oct02 7.4,7,4,2002,0,0,0,0,0,0,0,0,0,10,0,21
Oct02 8.1,8,1,2002,0,0,0,0,0,0,0,0,0,0,0,4
Oct02 8.2,8,2,2002,0,0,0,0,0,0,0,0,0,0,0,15
Oct02 8.3,8,3,2002,0,0,0,0,0,0,0,0,0,0,0,21
Oct02 8.4,8,4,2002,0,0,0,0,0,0,0,0,0,0,0,15
Oct02 9.1,9,1,2002,0,0,1,0,0,0,0,0,0,0,0,21
Oct02 9.2,9,2,2002,0,0,0,0,0,0,0,0,0,0,0,28
Oct02 9.3,9,3,2002,0,0,0,0,0,0,0,0,0,0,0,25
Oct02 9.4,9,4,2002,0,0,0,0,0,0,0,0,0,0,0,40
Oct02 10.1,10,1,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 10.2,10,2,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 10.3,10,3,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 10.4,10,4,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 11.1,11,1,2002,0,0,0,0,0,0,0,0,0,0,0,0
Oct02 11.2,11,2,2002,0,0,0,0,0,0,0,0,1,0,0,0
Oct02 11.3,11,3,2002,0,1,0,0,0,0,0,0,6,0,0,0
