site,replicate,year,cicindela_lurida,Cicindela.sp.1
1,1,2022,0,0
1,2,2022,0,0
1,3,2022,0,0
1,4,2022,0,0
2,1,2022,0,0
2,2,2022,0,0
2,3,2022,0,0
2,4,2022,0,0
3,1,2022,0,0
3,2,2022,1,0
3,3,2022,0,0
3,4,2022,0,0
4,1,2022,0,0
4,2,2022,0,0
4,3,2022,0,0
4,4,2022,0,0
5,1,2022,0,0
5,2,2022,0,0
5,3,2022,0,0
5,4,2022,0,0
6,1,2022,0,0
6,2,2022,0,0
6,3,2022,0,0
6,4,2022,0,0
7,1,2022,0,0
7,2,2022,0,0
7,3,2022,0,0
7,4,2022,0,0
8,1,2022,1,1
8,2,2022,0,0
8,3,2022,0,0
8,4,2022,0,0
9,1,2022,0,0
9,2,2022,0,0
9,3,2022,0,0
9,4,2022,0,0
10,1,2022,0,0
10,2,2022,0,0
10,3,2022,0,0
10,4,2022,0,0
11,1,2022,0,1
11,2,2022,0,4
11,3,2022,0,0
11,4,2022,3,11
12,1,2022,0,0
12,2,2022,0,0
12,3,2022,0,0
12,4,2022,0,0
13,1,2022,0,0
13,2,2022,0,0
13,3,2022,0,0
13,4,2022,0,0
14,1,2022,0,0
14,2,2022,2,0
14,3,2022,0,0
14,4,2022,55,0
15,1,2022,1,0
15,2,2022,12,0
15,3,2022,0,0
15,4,2022,1,0
16,1,2022,0,0
16,2,2022,0,0
16,3,2022,0,0
16,4,2022,0,0
17,1,2022,0,0
17,2,2022,0,0
17,3,2022,0,0
17,4,2022,0,0
1,1,2023,0,0
1,2,2023,0,0
1,3,2023,0,0
1,4,2023,0,0
2,1,2023,0,0
2,2,2023,0,0
2,3,2023,0,0
2,4,2023,0,0
3,1,2023,0,0
3,2,2023,0,0
3,3,2023,0,0
3,4,2023,0,0
4,1,2023,0,0
4,2,2023,0,0
4,3,2023,0,0
4,4,2023,0,0
5,1,2023,0,0
5,2,2023,0,0
5,3,2023,0,0
5,4,2023,0,0
6,1,2023,0,0
6,2,2023,0,0
6,3,2023,0,0
6,4,2023,0,0
7,1,2023,0,0
7,2,2023,0,0
7,3,2023,0,0
7,4,2023,0,0
8,1,2023,0,0
8,2,2023,0,0
8,3,2023,0,0
8,4,2023,0,0
9,1,2023,0,0
9,2,2023,0,0
9,3,2023,0,0
9,4,2023,0,0
10,1,2023,0,0
10,2,2023,0,0
10,3,2023,0,0
10,4,2023,0,0
11,1,2023,0,0
11,2,2023,0,0
11,3,2023,0,0
11,4,2023,0,0
12,1,2023,0,0
12,2,2023,0,0
12,3,2023,0,0
12,4,2023,0,0
13,1,2023,0,0
13,2,2023,0,0
13,3,2023,0,0
13,4,2023,0,0
14,1,2023,0,0
14,2,2023,0,0
14,3,2023,0,0
14,4,2023,0,0
15,1,2023,0,0
15,2,2023,0,0
15,3,2023,0,0
15,4,2023,0,0
16,1,2023,0,0
16,2,2023,0,0
16,3,2023,0,0
16,4,2023,0,0
17,1,2023,0,0
17,2,2023,0,0
17,3,2023,0,0
17,4,2023,0,0
