label,site,replicate,year,Amiantus sp 1,Gonopus tibialis,Hypomelus sp 1,Hypomelus sp 2,Hypomelus sp 3,Hypomelus sp 4,Hypomelus sp 5,Moluris gibba,Physadesmia aculeata,Psammodes sp 1,Psammodes sp 2,Psammodes sp 3,Psammodes sp 4,Psammodes sp 5,Somaticus sp 1,Stenocara dentata,Stenocara longipes,Stenocara sp 1,Teneb sp 10,Teneb sp 11,Teneb sp 12,Teneb sp 14,Teneb sp 15,Teneb sp 2,Teneb sp 3,Teneb sp 4,Teneb sp 5,Teneb sp 6,Teneb sp 7,Teneb sp 8,Teneb sp 9,Zophosis sp 1 ,Zophosis sp 2
Oct02 1.1,1,1,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17
Oct02 1.2,1,2,2002,0,0,2,0,0,0,1,0,0,1,0,0,0,0,11,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,1,13
Oct02 1.3,1,3,2002,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,20
Oct02 1.4,1,4,2002,0,0,3,0,0,0,0,0,6,0,0,0,0,1,5,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
Oct02 2.1,2,1,2002,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0
Oct02 2.2,2,2,2002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0
Oct02 2.3,2,3,2002,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,1,1
Oct02 2.4,2,4,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,3,0,1,0
Oct02 3.1,3,1,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,2
Oct02 3.2,3,2,2002,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,2,6,0
Oct02 3.3,3,3,2002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,3,19
Oct02 3.4,3,4,2002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,3
Oct02 4.1,4,1,2002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,10,0
Oct02 4.2,4,2,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,11,0
